dataset,planning_seed,control,method,dPdet,dRMST_rel,dL,H_common,exposure_multiplicity_control,exposure_multiplicity_method,revisit_fraction_control,revisit_fraction_method,replans_control,replans_method,planner_wall_time_control,planner_wall_time_method,initial_positions_hash,planning_seed_common,w
4,49,online_static_3step,dynamic_3step,0.02623728745396764,0.01026506502363351,0.026243358754405532,8500.0,13.839509202453987,11.841604921012163,0.9277431023476842,0.9155519875329091,3914.0,3951.0,394.922385631362,428.6008646504488,3f6d8ab46fee186a9e0d7bec1db491193cfeb0d4d2eb1323ebdeaf0dce514342,49,0.5
4,50,online_static_3step,dynamic_3step,0.04739915841184408,0.021598237267723124,0.04751158606420869,8511.0,16.36435758513932,11.47173001487894,0.9388915822208559,0.9128291897819256,3848.0,4055.0,382.67854093643837,432.91519192117266,384ea614ac4baa72a0a943592629cbbca19f3e54d3ab80827b4269ac1938bcc5,50,0.5
4,51,online_static_3step,dynamic_3step,0.0660992367075581,0.029178037015049212,0.06616166917899624,8488.0,18.96884455900482,11.335880420939741,0.9472819761430706,0.9117845316934721,3803.0,3879.0,384.78454497805797,428.0795043709222,19677be8e58aae74569733e531a5da24d6cf6522eb51938616c433c21a4bc20f,51,0.5
5,42,online_static_3step,dynamic_3step,0.15715376655218566,0.07137273247822788,0.157395912606101,8951.0,48.31594594594595,12.975432420021429,0.9793028992722452,0.9229312775382364,4379.0,4116.0,417.08337106416,437.66808085516095,63820a06c24988cd5b14cbccaf1cbb0f000c4927355b2b7a32db181cb86fa4f5,42,0.5
5,43,online_static_3step,dynamic_3step,0.07071775325917914,0.02301380341140379,0.07075797087182051,8525.0,20.11317143198947,13.025885244642446,0.9502813366165852,0.9232297858288517,4362.0,4120.0,425.6294547819998,445.0782717689872,15302fde53c7fee4048af64173d8a7965beeae9b802b541137bfbc6b42210ff6,43,0.5
5,44,online_static_3step,dynamic_3step,0.1222001986126573,0.05057415450111936,0.12237082832417209,8861.0,29.121356825292278,12.198823698178167,0.9656609406629197,0.9180248829934853,4094.0,4107.0,397.45195149839856,447.4756849829573,e6265b5a69412f436535d76f517c6ae7f5215604635f74720122e9b3df094cf3,44,0.5
5,45,online_static_3step,dynamic_3step,0.1332611732007077,0.05661267113208124,0.13352214535100154,8824.0,33.044456949915585,11.180151166611896,0.9697377384196185,0.9105557711074271,4566.0,4079.0,446.90728522255085,446.78968014614657,6a9590a55b7d3d64a1c0a95cfe759aa6fe59dfd2c1c23c28d656c95d4c988917,45,0.5
5,46,online_static_3step,dynamic_3step,0.07119340436075933,0.0224820075342102,0.07126795632734462,8595.0,20.705932306199198,12.578729689807977,0.9517046619677875,0.9205007163155546,4423.0,4192.0,437.5969752408564,457.4930216821376,36d82214567af5aa5284a473cb0f40d353b96ec9aceecea67bf3d36f4990047c,46,0.5
5,47,online_static_3step,dynamic_3step,0.14313055254321677,0.06787937100553106,0.14329308816417896,8947.0,42.71271510516252,13.198323371885431,0.9765877678921158,0.9242328004987238,4313.0,4017.0,418.15525208809413,440.548914660234,67f83638cfd623cd3b9779585e573e058ccacbe460f81f880259dd5c54027f56,47,0.5
5,48,online_static_3step,dynamic_3step,0.07506805581372228,0.02714077693671136,0.0752153220967309,8841.0,21.743403205918618,11.228116535641144,0.9540090394070512,0.9109378677335844,3998.0,4025.0,391.2171831007581,437.70380883989856,096d75f1a2a4ad7097adefed71cdbf20124d138d7ae6e149970f4c9c1a6e5cd3,48,0.5
