dataset,mobility_model,planning_seed,control,method,dPdet,dRMST_rel,dL,H_common,exposure_multiplicity_control,exposure_multiplicity_method,revisit_fraction_control,revisit_fraction_method,replans_control,replans_method,planner_wall_time_control,planner_wall_time_method,initial_positions_hash,planning_seed_common,condition_id,w
7,route_following,46,online_static_3step,dynamic_3step,0.0,0.0,0.1059966732673705,8253.0,0.0,0.0,0.9583497577661076,0.8961481902549338,5282.0,4696.0,511.7994638516102,489.95729451440275,72b2a4b6cfa190859e858989a9c94ff8592eebd82cfee1e5bcbe8e4fddf368a3,46,route_following,0.5
7,route_following,47,online_static_3step,dynamic_3step,0.0,-0.007983549043901172,0.08307058039799396,8267.0,13.0,13.0,0.9588073828679603,0.8984290290783638,5411.0,4692.0,521.9057721924037,487.9125934189651,b7d406c52d39becdb0bc74a2cb1a4d4b67e866429a333098a2a57fcb23220f96,47,route_following,0.5
7,route_following,48,online_static_3step,dynamic_3step,0.999999995904,0.5328517869917078,0.14315619584592892,8272.0,0.0,12.0,0.983791537786658,0.8996461211804166,5270.0,4456.0,500.87254989077337,461.6388085882645,b85f9723792ce7b18415898fc551ccbb69b3a52f396789496392181de2ff1369,48,route_following,0.5
7,route_following,49,online_static_3step,dynamic_3step,0.99999999983616,0.8973187263996993,0.14271614910821662,8261.0,0.0,14.0,0.9673937172177156,0.8978040957315568,4641.0,4781.0,446.65384875563905,501.3355010203086,7137273470d24672442ea78e63e70285e5d060f4e2f115c218a2de9cd51b6c0a,49,route_following,0.5
7,route_following,50,online_static_3step,dynamic_3step,0.0,0.0,0.08253187905213454,8264.0,0.0,0.0,0.9631790426171418,0.9149909381203073,4893.0,4760.0,478.33878141036257,494.2143538778182,fdf9951f218e61b913618a579bd13a77417b8831a28d26d86ea79bbbe03fffcf,50,route_following,0.5
7,route_following,51,online_static_3step,dynamic_3step,0.0,0.0,0.13603929186094788,8275.0,0.0,0.0,0.9682092299879388,0.8989009366946916,4162.0,3990.0,403.75273273698986,425.9346688997466,a8f19df2d616560c37b26732016a8ecb989b028f1788c364e916ef8c4d117ae0,51,route_following,0.5
10,lost_person,42,online_static_3step,dynamic_3step,0.0,0.0,0.16169795489706573,9037.0,0.0,0.0,0.989111491028599,0.9353748475418618,4426.0,4227.0,388.8737446637824,443.961698184954,3c195b87f1445e5f24bb317d5a82c31328f4e3a706c1cec8193eed5382ff055c,42,lost_person,0.5
10,lost_person,43,online_static_3step,dynamic_3step,0.0,0.0,0.1273011148916412,8741.0,0.0,0.0,0.9881687183451204,0.9499187717371408,3307.0,4241.0,289.97812538198195,459.7550169189926,5aae0438e1e54d69e9da0ba68887ca5e3f1f7a67ff645ed335b0fcf02051ca64,43,lost_person,0.5
10,lost_person,44,online_static_3step,dynamic_3step,0.0,0.0,0.16755523632622116,8934.0,0.0,0.0,0.9880847777298956,0.9322551148702709,4049.0,4162.0,370.4802268878557,442.6230378181208,c7b98fa8a6fd7a67d10513d55076aade048023f35a0553cb06267d4f6ef018b5,44,lost_person,0.5
10,lost_person,45,online_static_3step,dynamic_3step,-6.389759999991806e-05,-0.014713474251405843,0.15667537673456683,9074.0,10.0,6.0,0.9856294288138768,0.9350785758729543,5376.0,4231.0,502.0027593327686,407.35389421950094,8a7e98c8245c80a6f01e0226d2d2656885f2cb7610bee2dc775b06c99ab4ad79,45,lost_person,0.5
10,lost_person,46,online_static_3step,dynamic_3step,0.0,0.0,0.1264261211188262,8810.0,0.0,0.0,0.9839494191029156,0.936052222780646,4051.0,4139.0,382.54883552296087,428.07456084294245,9ee63faabcca9d7ea56158b9a7b93c43e3bd66789637b328ac894e71f26729ce,46,lost_person,0.5
10,lost_person,47,online_static_3step,dynamic_3step,0.0,0.0,0.17426870959912136,9074.0,0.0,0.0,0.988830232763181,0.9308579989935496,3485.0,4069.0,326.378227181267,428.09111427678727,534d6bf750939fd4a2adea1cb6e5bf6962100438a5d1f081e7ea7ace1d556989,47,lost_person,0.5
10,lost_person,48,online_static_3step,dynamic_3step,0.0,0.0,0.12518338854451305,8943.0,0.0,0.0,0.9842444844513525,0.9335878428888547,4869.0,4266.0,476.3671569188591,405.20698128803633,f1d4268a7fc06b15f7692db6342f402bb3f8002b9b7058c5a0ea51e1aecefd26,48,lost_person,0.5
10,lost_person,49,online_static_3step,dynamic_3step,0.0,0.0,0.14243384008186843,9057.0,0.0,0.0,0.985574295415022,0.9260387258676248,4450.0,4236.0,430.8844981743023,412.1157322113868,60433548930247880d436336dc0c24b5722e1f405496f3395bc41214162a99f6,49,lost_person,0.5
10,lost_person,50,online_static_3step,dynamic_3step,0.992,0.059155848508557596,0.15650620656371733,8951.0,0.0,3.0,0.984442905182719,0.9312406320438449,4818.0,4138.0,467.6367309477646,394.5588359250687,8283a2834388f9c63cfd0cea6a48fcee18a5ba4c6e6ba3aa66a9c3f28824aa66,50,lost_person,0.5
10,lost_person,51,online_static_3step,dynamic_3step,0.99999999983616,0.6930566593622179,0.19315618386900152,8807.0,0.0,14.0,0.9891787549322962,0.9283925260305235,4564.0,4222.0,443.79047161946073,409.07955542299896,511218dd01b3f07057afc14325022c4e82154b26ec43f956302ef375f1badadf,51,lost_person,0.5
10,random_walk,42,online_static_3step,dynamic_3step,0.0,0.0,0.16169795489706573,9037.0,0.0,0.0,0.989111491028599,0.9353748475418618,4426.0,4227.0,388.8737446637824,443.961698184954,3c195b87f1445e5f24bb317d5a82c31328f4e3a706c1cec8193eed5382ff055c,42,random_walk,0.5
10,random_walk,43,online_static_3step,dynamic_3step,0.0,0.0,0.1273011148916412,8741.0,0.0,0.0,0.9881687183451204,0.9499187717371408,3307.0,4241.0,289.97812538198195,459.7550169189926,5aae0438e1e54d69e9da0ba68887ca5e3f1f7a67ff645ed335b0fcf02051ca64,43,random_walk,0.5
10,random_walk,44,online_static_3step,dynamic_3step,0.0,0.0,0.16755523632622116,8934.0,0.0,0.0,0.9880847777298956,0.9322551148702709,4049.0,4162.0,370.4802268878557,442.6230378181208,c7b98fa8a6fd7a67d10513d55076aade048023f35a0553cb06267d4f6ef018b5,44,random_walk,0.5
10,random_walk,45,online_static_3step,dynamic_3step,8.12646394621197e-10,-0.009367422683075876,0.15667537673456683,9074.0,13.0,16.0,0.9856294288138768,0.9350785758729543,5376.0,4231.0,502.0027593327686,407.35389421950094,8a7e98c8245c80a6f01e0226d2d2656885f2cb7610bee2dc775b06c99ab4ad79,45,random_walk,0.5
10,random_walk,46,online_static_3step,dynamic_3step,0.0,0.0,0.1264261211188262,8810.0,0.0,0.0,0.9839494191029156,0.936052222780646,4051.0,4139.0,382.54883552296087,428.07456084294245,9ee63faabcca9d7ea56158b9a7b93c43e3bd66789637b328ac894e71f26729ce,46,random_walk,0.5
10,random_walk,47,online_static_3step,dynamic_3step,0.0,0.0,0.17426870959912136,9074.0,0.0,0.0,0.988830232763181,0.9308579989935496,3485.0,4069.0,326.378227181267,428.09111427678727,534d6bf750939fd4a2adea1cb6e5bf6962100438a5d1f081e7ea7ace1d556989,47,random_walk,0.5
10,random_walk,48,online_static_3step,dynamic_3step,-0.9999999999934464,-0.8045119087501582,0.12518338854451305,8943.0,16.0,0.0,0.9842444844513525,0.9335878428888547,4869.0,4266.0,476.3671569188591,405.20698128803633,f1d4268a7fc06b15f7692db6342f402bb3f8002b9b7058c5a0ea51e1aecefd26,48,random_walk,0.5
10,random_walk,49,online_static_3step,dynamic_3step,0.0,0.0,0.14243384008186843,9057.0,0.0,0.0,0.985574295415022,0.9260387258676248,4450.0,4236.0,430.8844981743023,412.1157322113868,60433548930247880d436336dc0c24b5722e1f405496f3395bc41214162a99f6,49,random_walk,0.5
10,random_walk,50,online_static_3step,dynamic_3step,0.0,0.0,0.15650620656371733,8951.0,0.0,0.0,0.984442905182719,0.9312406320438449,4818.0,4138.0,467.6367309477646,394.5588359250687,8283a2834388f9c63cfd0cea6a48fcee18a5ba4c6e6ba3aa66a9c3f28824aa66,50,random_walk,0.5
10,random_walk,51,online_static_3step,dynamic_3step,0.9999998976,0.6847677283382706,0.19315618386900152,8807.0,0.0,10.0,0.9891787549322962,0.9283925260305235,4564.0,4222.0,443.79047161946073,409.07955542299896,511218dd01b3f07057afc14325022c4e82154b26ec43f956302ef375f1badadf,51,random_walk,0.5
10,route_following,42,online_static_3step,dynamic_3step,0.0,0.0,0.16169795489706573,9037.0,0.0,0.0,0.989111491028599,0.9353748475418618,4426.0,4227.0,388.8737446637824,443.961698184954,3c195b87f1445e5f24bb317d5a82c31328f4e3a706c1cec8193eed5382ff055c,42,route_following,0.5
