dataset,planning_seed,w,L_static3,revisit_static3,newcov_static3,replans_static3,wall_static3,L_dyn3,revisit_dyn3,newcov_dyn3,replans_dyn3,wall_dyn3,Pdet_static3,RMST_static3,Pdet_dyn3,RMST_dyn3,horizon,T_static,T_dynamic,T_common,revisit_weight,implementation_version,git_commit,experiment_id,config_hash,source_hash,belief_model,planning_mode,simulation_num_victims,evaluation_num_victims,victim_model,simulation_victim_model,victim_sampling_model,detection_probability,decay_tau,victim_seed,sensor_seed,budget,size
1,48,1.0,0.006861505427705778,0.9992441959175626,0.0004039954565148659,5629,152.36446785414591,0.33287537955168334,0.9307831777136006,0.03431033877068281,3959,120.21671810990665,0.006859354325143732,9067.747362500104,0.3327284560242897,7255.6085518895925,9130,9129,8501,9129,1.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge
1,49,0.0,0.2950475373734667,0.9368127475885101,0.031239387800508216,4197,99.50699444185011,0.2950475373734667,0.9368127475885101,0.031239387800508216,4197,103.48601831472479,0.2948354707083918,6974.530812182587,0.2948354707083918,6974.530812182587,8504,8503,8503,8503,0.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge
1,49,0.5,0.22317148440613982,0.9638199777908268,0.018217853086173987,4174,118.15755681379233,0.36847859780995884,0.9137266510760487,0.04265957820532337,4006,120.58944628934842,0.22304104132884917,7291.285452863959,0.36825213088207714,6699.238781638727,8619,8618,8491,8618,0.5,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge
1,49,1.0,0.006784990522022593,0.9992441876386341,0.0004039954565148659,5632,153.44978700962383,0.33129878334729745,0.9311802971237151,0.0341610361019708,3953,120.27339605602901,0.00677746570156497,9068.500183354381,0.3311849626359956,7183.035553289226,9130,9129,8509,9129,1.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge
1,50,0.0,0.3597224832804038,0.9167182498275649,0.04135683923322833,3991,97.2966352183139,0.3597224832804038,0.9167182498275649,0.04135683923322833,3991,102.09272304468323,0.35936282846589984,6652.151883247568,0.35936282846589984,6652.151883247568,8517,8516,8516,8516,0.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge
1,50,0.5,0.2665890215865684,0.9517893079009537,0.02419581484127077,4166,121.84208458208013,0.34500220555269373,0.9275089314712569,0.03593803060997459,4149,126.25032562040724,0.26637741129962206,7011.539375879726,0.34484019690761136,6759.250457517218,8593,8592,8505,8592,0.5,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge
1,50,1.0,0.009066592667028708,0.9989424367167777,0.0005445156153026453,4592,123.72983395843767,0.3470194306405296,0.9255061541732619,0.03692459922479712,3976,119.46754710189998,0.00905832302920842,8714.80974136151,0.3468068230996578,6962.880121481511,8794,8793,8503,8793,1.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge
1,51,0.0,0.3540006909818717,0.9189999941065188,0.04023560546623418,4089,99.10413645068184,0.3540006909818717,0.9189999941065188,0.04023560546623418,4089,104.13843196025118,0.3537434344416396,6698.74898602228,0.3537434344416396,6698.74898602228,8526,8525,8525,8525,0.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge
1,51,0.5,0.2207034878299234,0.9654852881249966,0.018100752953850836,3549,101.61362950189505,0.3649098547220396,0.9159468379691679,0.041675937093808915,4061,122.66752120049205,0.2205543018396447,7509.282894872386,0.3646539491883437,6908.008516551337,8976,8975,8509,8975,0.5,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge
1,51,1.0,0.006876117784240084,0.9991370922905857,0.000436197992903732,4510,122.26079816371202,0.3483880030390882,0.9236520056173808,0.037878965303230795,4008,121.01914405426942,0.006872611731775734,8574.997716694817,0.3481803462722618,6687.622789425295,8634,8633,8507,8633,1.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge
