dataset,planning_seed,method,P_detect_Tref,P_detect_k0_Tref,retention_Tref,RMST_Tref,RMST_k0_Tref,NRMST_Tref,degradation_RMST_Tref,retention_budget
3,48,dynamic_evidence_3step,0.2090734370703452,0.2208958070496794,0.9464798805498588,6872.013406575002,6849.617871667332,0.8588943140326212,0.0027990919769615764,0.9796429249472992
3,49,dynamic_evidence_3step,0.2264855957575012,0.2439701939892435,0.9283330559940729,6840.562512883418,6800.931507192782,0.8549634436799672,0.004953256554260205,0.9739249033115795
3,50,dynamic_evidence_3step,0.2400710679117133,0.2534120350253879,0.9473546427566549,6793.994505671941,6756.074174664164,0.8491431703127035,0.004739448944853948,0.9966835510538404
3,51,dynamic_evidence_3step,0.220338108736941,0.2431655897844218,0.9061237197758184,6838.598641290343,6781.010915084745,0.8547179904124913,0.007197566079939795,0.9532563923478496
4,42,dynamic_evidence_3step,0.2407535754495166,0.2599649958547561,0.926099972259446,6793.979393262523,6762.633081886534,0.8491412814976282,0.0039177991970991,0.975387009827198
4,43,dynamic_evidence_3step,0.2492544934901348,0.259953902896499,0.9588411280340569,6789.809633524708,6760.512688779518,0.8486201266747542,0.0036616603856006198,1.0188552342213988
4,44,dynamic_evidence_3step,0.257189500440231,0.2727111964855983,0.943083759503116,6746.649526854633,6715.991220211403,0.843225787633375,0.0038318093542345196,0.9908965624830016
4,45,dynamic_evidence_3step,0.2526422827747963,0.2657510085088449,0.9506729031524547,6735.434076476848,6708.463811659802,0.8418240315556615,0.003370861744412695,1.0245875622193164
4,46,dynamic_evidence_3step,0.2518166557205884,0.26888191227136,0.9365325231191117,6755.14096220914,6712.806969543073,0.8442870843905936,0.005291087697296148,0.9971775050113428
4,47,dynamic_evidence_3step,0.2509230546014614,0.2558513527342214,0.980737650670624,6778.023595687071,6771.225834432367,0.847147056078874,0.0008496139550935883,1.0373297049751138
4,48,dynamic_evidence_3step,0.255346495432129,0.2719073470723968,0.9390937691880081,6717.485141263962,6682.298826631024,0.8395806950711113,0.004397739611665775,0.9951263335853262
4,49,dynamic_evidence_3step,0.2382426141666799,0.2562244953476496,0.9298198200895212,6817.502235735226,6781.336082585913,0.8520812693082398,0.004520204118149442,0.9779559871741382
4,50,dynamic_evidence_3step,0.2556925923013096,0.2650071539767705,0.9648516595281145,6752.316890876124,6736.541050503764,0.8439341195945661,0.001971733579847419,1.021169115523051
4,51,dynamic_evidence_3step,0.2588595288036995,0.2736942066946803,0.9457983489306018,6710.390627339637,6679.899840633407,0.838693991668496,0.003810871979281366,1.0030700719438366
5,42,dynamic_evidence_3step,0.2517571043825549,0.273197455898033,0.9215206765194752,6735.200167977398,6701.082382515093,0.8417947966475938,0.004264190159018325,0.9458764301045696
5,43,dynamic_evidence_3step,0.246194475363152,0.2786990478917167,0.8833703495779658,6738.857867542298,6686.761638073384,0.8422519519487937,0.006511214781766455,0.942699918419198
5,44,dynamic_evidence_3step,0.2571026488161299,0.2499690941237262,1.02853774670589,6720.396412048478,6711.022296173906,0.8399445584362553,0.0011716180320674346,1.0931574029232765
5,45,dynamic_evidence_3step,0.252183156387625,0.269314075217386,0.9363905550947043,6739.116277740904,6704.236796037939,0.8422842491864646,0.004359390289084461,0.9853934651392718
5,46,dynamic_evidence_3step,0.2451469192726947,0.2529165367222244,0.9692799152233251,6773.878203290565,6767.508256253971,0.8466289467929715,0.0007961438615915082,1.0297255719979888
5,47,dynamic_evidence_3step,0.2588779549122304,0.2725512706914275,0.9498321334385651,6714.698312967154,6685.429945842863,0.8392323850727602,0.0036580886294577198,1.0078453767740936
5,48,dynamic_evidence_3step,0.2585904900948464,0.2642341438219969,0.9786414668236352,6740.712111732684,6724.4809415442,0.8424837035036475,0.0020286426932239233,1.0384652818229905
5,49,dynamic_evidence_3step,0.234290409833899,0.2466033423950156,0.9500698877738915,6772.607716857121,6743.392160841587,0.8464701558376604,0.003651488065933543,0.979177860880404
5,50,dynamic_evidence_3step,0.2600199217920297,0.258971954976142,1.0040466421006253,6730.762443519002,6721.415351357633,0.8412401504210726,0.0011682404901098477,1.0652486419485707
5,51,dynamic_evidence_3step,0.2627690539383507,0.2766213127221317,0.949923385702042,6735.11419733867,6709.310248998499,0.8417840516608762,0.0032250904062205714,0.9996002488325466
6,42,dynamic_evidence_3step,0.2165615220911829,0.235506394248291,0.9195568671603251,6918.289736038597,6881.72788128913,0.8646781322382948,0.004569660636103846,0.9464406603785924
6,43,dynamic_evidence_3step,0.246741826282321,0.2636196894278066,0.935976469807246,6797.640038744999,6761.479057228777,0.8495988049925008,0.004519557744809751,0.9792070971340672
6,44,dynamic_evidence_3step,0.2469914499054007,0.2620708922500604,0.9424604456634148,6791.32588594354,6759.0894627982425,0.8488096345386251,0.00402904926200444,1.002897139267826
6,45,dynamic_evidence_3step,0.219670959454737,0.2377042063421865,0.9241357687146277,6908.794759238327,6871.322530800045,0.8634914084787311,0.00468344312439475,0.97668367166908
6,46,dynamic_evidence_3step,0.2300914387274953,0.2392068509803011,0.9618931806699949,6875.948532549535,6858.298218833677,0.8593861433007793,0.00220601346279939,1.0367268098384503
6,47,dynamic_evidence_3step,0.217927847604813,0.2359784710292214,0.9235073295217123,6918.61842235389,6881.945102947323,0.8647192128926247,0.004583591976823812,0.9803238004452086
6,48,dynamic_evidence_3step,0.2474323575995412,0.2628008295023238,0.9415204589274452,6795.1993243297,6762.814543452875,0.8492937538219848,0.004047591660645552,1.0026003424778285
6,49,dynamic_evidence_3step,0.1782711669196126,0.1994308626967389,0.8938995926157004,7098.635498596861,7055.507599809768,0.8872185350077316,0.005390313559191703,0.9732436581092871
6,50,dynamic_evidence_3step,0.2469625274120989,0.2619050405610554,0.9429468286790261,6819.678564957468,6787.303399681346,0.8523532764601259,0.00404638986078266,1.004730724969986
6,51,dynamic_evidence_3step,0.2463953175173303,0.2619110164175364,0.9407596552736404,6808.955796162303,6777.0705234961615,0.8510130978830525,0.003985160938150437,1.0043307947806677
7,42,dynamic_evidence_3step,0.1609029763081973,0.16721410695045,0.9622571877615395,7231.361777626283,7213.060554852043,0.9038072462974982,0.002287366925914167,1.0702632389683555
7,43,dynamic_evidence_3step,0.1757280514300107,0.1820288597336833,0.9653856629498697,7163.2915560478505,7149.151861239146,0.8952995320644732,0.0017672409459698684,1.099863756050818
7,44,dynamic_evidence_3step,0.1587165826372975,0.1644209577996394,0.9653062770179629,7175.625866036315,7166.687283870241,0.8968411281135251,0.0011171831228688292,1.0935027360339256
7,45,dynamic_evidence_3step,0.1890907563913951,0.1992710479421701,0.948912339971588,7059.476894676296,7050.146905307585,0.8823243212943752,0.0011661029082253233,1.014113803231644
7,46,dynamic_evidence_3step,0.1838145243657269,0.1948220482051968,0.9434995990398571,7117.191732193835,7104.493130889375,0.8895377743024416,0.0015871267722110587,1.006459134356124
7,47,dynamic_evidence_3step,0.1601016986576562,0.1650021022721305,0.9703009625514207,7128.678536897598,7119.574766144963,0.8909734454315208,0.0011378291154399167,1.00885621347225
7,48,dynamic_evidence_3step,0.1486535223294393,0.1554921826648981,0.9560192659318647,7239.285777287213,7224.973670605462,0.9047976224580944,0.0017887897365018342,1.037822072111999
7,49,dynamic_evidence_3step,0.162071446333314,0.1809812299152071,0.8955152222650234,7207.957707803203,7175.4497623788475,0.9008821032124988,0.004062985304881386,1.0115140058186265
7,50,dynamic_evidence_3step,0.1532777597046315,0.1784948743540298,0.8587235922563119,7207.186945904684,7165.535518419091,0.9007857700168334,0.005205777713484895,0.9508940023680448
7,51,dynamic_evidence_3step,0.1769868243188727,0.1923497301484711,0.920130348933996,7123.125573846566,7108.804931521948,0.8902794118043452,0.00178985655850748,1.0101253721833237
8,42,dynamic_evidence_3step,0.2418525173493654,0.2455022568550586,0.9851335806340551,6832.996356504419,6812.732064750798,0.85401779233901,0.002532719879217768,1.0415224275869444
8,43,dynamic_evidence_3step,0.23766812359056,0.253136661758815,0.9388925410457012,6821.845452444038,6789.347543293232,0.8526241035425619,0.004061730927484784,1.0047903770878934
