dataset,planning_seed,dPdet,dRMST_rel,dretention,dL,dPostFaultGain,deadhead_total,deadhead_fraction_remaining_budget,assignment_cost,route_length_after_replan,task_splits,empty_sectors,prefix_removed_total,suffix_removed_total,search_inactive_count,remaining_budget_at_failure,postfault_eff_replan,postfault_eff_fixed,postfault_mass_replan,postfault_mass_fixed,postfault_dist_replan,postfault_dist_fixed,termination,budget_utilization,unused_budget
2,42,-0.048872156428404895,-0.020837163133840975,-0.19920866644959223,-0.0490922866570373,-0.0488721564284049,3649.63093516163,0.03650349962509534,3649.63093516163,4645108.718364915,0,0,4379,0,0,99980.30250920355,4.4611748514451145e-07,9.371019939300511e-07,0.044608305244237006,0.0937005919012743,99992.28169634951,99989.74765629244,budget_exhausted,1.000059895935732,-11.97918714635307
2,43,-0.044236968934492416,-0.019665675335622922,-0.1802344714691726,-0.0444291055655201,-0.0442369689344924,2454.4765229665304,0.02454951255102793,2454.4765229665304,4644272.536239936,0,0,4462,0,0,99980.66225814968,4.4606304827146925e-07,8.90458879349759e-07,0.044606210972109483,0.08903531653762958,99999.78959244034,99988.1281465192,budget_exhausted,1.0000956366714653,-19.127334293094464
2,44,-0.06118536432263791,-0.0260309270126031,-0.24943538978521196,-0.0613973883281112,-0.0611853643226378,3788.1353843118277,0.037886206670701306,3788.1353843118277,4660856.610456876,0,0,2869,0,0,99987.19104389308,3.172320462735156e-07,9.311269930139004e-07,0.03172170511519448,0.09311909344330518,99995.27313783493,100006.8670997223,budget_exhausted,1.0000404104697207,-8.082093944132794
2,45,-0.023151292866810197,-0.011180953657274275,-0.09438814151715902,-0.023291335236722083,-0.023151292866810204,1824.135356709045,0.018245055484647325,1824.135356709045,4628041.068943162,0,0,6020,0,0,99979.7100230252,6.13984013153461e-07,8.469780818313072e-07,0.0613972785613732,0.08468861379809531,99998.17136285498,99989.144482918,budget_exhausted,1.000092306699144,-18.461339828791097
2,46,-0.004964690536206101,-0.004675805902176717,-0.0202241962193368,-0.0050466477295250944,-0.004964690536206101,2887.254978954861,0.028873100197339865,2887.254978954861,4605731.475154548,0,0,8152,0,0,99998.09370040802,7.959248821746259e-07,8.463340805510194e-07,0.0796007210102867,0.0846473687398118,100010.34368067702,100016.49547741332,budget_exhausted,1.0000612499013322,-12.249980266438797
2,47,-0.043610296970239576,-0.01897447753641254,-0.17779077320565306,-0.04382585790059401,-0.0436102969702397,3559.1822057539384,0.03559742478182344,3559.1822057539384,4643558.399711212,0,0,4532,0,0,99984.26087190746,4.926793634526464e-07,9.309958530004922e-07,0.04926042938053449,0.09308628728112858,99984.76298118608,99985.7163499947,budget_exhausted,1.0000025105464074,-0.5021092814859003
2,48,-0.05320453404679901,-0.023347387246159177,-0.21685121736669322,-0.0534239324435071,-0.05320453404679901,4170.184761218988,0.04170915526078966,4170.184761218988,4660856.610456876,0,0,2869,0,0,99982.4795094648,3.113672956012395e-07,8.456857451563071e-07,0.0311330491792306,0.08455698162273731,99988.17993750356,99986.2917248401,budget_exhausted,1.0000285021401956,-5.70042803909746
2,49,-0.060478618673003415,-0.02582884230946007,-0.24653014945286666,-0.0606774692104724,-0.06047861867300341,4220.307021171009,0.04221154801422188,4220.307021171009,4659749.569074251,0,0,2978,0,0,99979.9159165901,3.2468879428066796e-07,9.314711945401799e-07,0.03246274395774179,0.09314021316821389,99981.10353534498,99992.58561526691,budget_exhausted,1.0000059380937918,-1.1876187583548017
2,50,-0.014430409533299493,-0.008436792811650214,-0.05882672252205745,-0.01458439568347239,-0.014430409533299493,1078.6854757301237,0.010789188004443447,1078.6854757301237,4620392.474830752,0,0,6749,0,0,99978.37420998455,6.995940055464651e-07,8.453912790692548e-07,0.0699471075588336,0.0845315032423061,99982.42838601324,99990.98090457264,budget_exhausted,1.0000202708801464,-4.054176029283553
2,51,-0.05067367764567879,-0.02297567434973704,-0.20660202091279134,-0.050895625829077085,-0.05067367764567869,3449.5749388755557,0.03450106189626234,3449.5749388755557,4658642.527691626,0,0,3087,0,0,99984.60190146392,3.384079689209956e-07,8.47346054512109e-07,0.033840894978866415,0.0847365208079433,100000.2898476864,100002.26041854116,budget_exhausted,1.000078439731127,-15.687946225429187
3,42,-0.04542060942409451,-0.021227950311150507,-0.16618975495958976,-0.045657053084579374,-0.045420609424094496,3856.216060388833,0.038569757878396144,3856.216060388833,4645108.71836496,0,0,4379,0,0,99980.30250920483,5.081782236616558e-07,9.648430776177913e-07,0.050813419553925904,0.09647047263850539,99991.33608636758,99985.66075293,budget_exhausted,1.0000551678858185,-11.033577163674636
3,43,-0.04542258005320182,-0.020602188110629537,-0.16618076374470825,-0.04565722204762862,-0.045422580053201794,4141.041233913434,0.041418421726604385,4141.041233913434,4644272.536239982,0,0,4462,0,0,99980.66225815432,4.95839905075653e-07,9.524903768795014e-07,0.04957976555046831,0.09523698759809693,99991.47919105797,99987.3488592161,budget_exhausted,1.0000540846645074,-10.81693290147814
3,44,-0.06137462180768288,-0.027467737552348204,-0.22458581765676522,-0.061589765472461006,-0.061374621807682904,2957.0490593004083,0.02957427874938797,2957.0490593004083,4660856.610456924,0,0,2869,0,0,99987.19104389328,3.582968246893787e-07,9.74126097369053e-07,0.035829533685497905,0.09741929915795941,99999.58474809233,100006.86709972372,budget_exhausted,1.0000619685210073,-12.393704201473156
3,45,-0.02653628147124279,-0.012396482155304572,-0.09711429711677155,-0.026716461808742292,-0.02653628147124279,2133.357328257507,0.02133790273812769,2133.357328257507,4628041.068943207,0,0,6020,0,0,99979.71002302453,6.351882723392438e-07,9.024370732698677e-07,0.06351430525009569,0.09023076705883798,99992.8808763864,99985.66075294102,budget_exhausted,1.0000658542668055,-13.170853361109039
3,46,-0.0082810467324404,-0.006249142023226986,-0.030295090909506883,-0.0084263693699006,-0.0082810467324404,2111.524758043169,0.021115650107983275,2111.524758043169,4605731.475154588,0,0,8152,0,0,99998.0937004093,8.684767985832919e-07,9.527093707663434e-07,0.0868593024591735,0.0952856718290741,100013.38274190314,100015.46615672302,budget_exhausted,1.0000764452074584,-15.289041491691023
3,47,-0.040719172793134,-0.018970177015256197,-0.1489955499544896,-0.04098229847417087,-0.040719172793133994,3025.479868496373,0.030259561276072985,3025.479868496373,4643558.399711259,0,0,4532,0,0,99984.2608719082,4.931845750817164e-07,9.030075621108714e-07,0.049320498911953004,0.09030279738612387,100004.13922876852,100002.26041854174,budget_exhausted,1.0000993917843009,-19.878356860164786
3,48,-0.061439823342950006,-0.027515679921018464,-0.22478018795252375,-0.061679454064867106,-0.061439823342950006,2967.8997327096345,0.029684198144222743,2967.8997327096345,4660856.610456923,0,0,2869,0,0,99982.4795094645,3.5867207469037465e-07,9.756402186847461e-07,0.0358677945919601,0.0975472486568277,100001.63693513954,99982.8079948677,budget_exhausted,1.0000957871283764,-19.157425675279228
3,49,-0.05433041930555377,-0.024601116048526918,-0.1987912363950376,-0.05459764286391369,-0.0543304193055537,3703.498007344593,0.03704241970391597,3703.498007344593,4659749.5690743,0,0,2978,0,0,99979.91591659102,3.568212513514651e-07,9.029072573343824e-07,0.0356816349631873,0.09027927782710149,99998.62628148588,99987.32106066956,budget_exhausted,1.0000935518244751,-18.71036489502876
3,50,-0.023685499965962697,-0.011977808748166697,-0.0866788442064006,-0.02387269526604094,-0.02368549996596271,1883.985681515494,0.018843931964312378,1883.985681515494,4620392.474830794,0,0,6749,0,0,99978.37420998358,7.202201224899659e-07,9.589098539624985e-07,0.07200790732419149,0.09588060259023232,99980.41581404816,99989.17228144583,budget_exhausted,1.000010208020318,-2.041604063590057
