study,dataset,planning_mode,trial,seed,num_drones,budget,fov_deg,victim_model,likelihood,victims_found,path_length,cells_observed,sim_time,wall_time,_job_key
nstep_N3,1,dynamic_3step,10,52,5,200000.0,45.0,random_walk,0.345897798405575,1,200001.33598361013,13069,8533.0,132.3000693321228,dynamic_3step|seed=52
nstep_N3,1,dynamic_3step,11,53,5,200000.0,45.0,random_walk,0.37093232795191955,0,200017.1308903458,14689,8514.0,134.91173672676086,dynamic_3step|seed=53
nstep_N3,1,dynamic_3step,12,54,5,200000.0,45.0,random_walk,0.34871704970948236,1,200000.13613718984,14598,8538.0,136.57773208618164,dynamic_3step|seed=54
nstep_N3,1,dynamic_3step,13,55,5,200000.0,45.0,random_walk,0.36939145036520044,0,200011.88950516397,14339,8513.0,135.5622341632843,dynamic_3step|seed=55
nstep_N3,1,dynamic_3step,14,56,5,200000.0,45.0,random_walk,0.3727107265496572,0,200024.3157221882,14446,8516.0,135.4707751274109,dynamic_3step|seed=56
nstep_N3,1,dynamic_3step,15,57,5,200000.0,45.0,random_walk,0.3750633475451743,0,200008.45719952718,15017,8521.0,138.1800286769867,dynamic_3step|seed=57
nstep_N3,1,dynamic_3step,16,58,5,200000.0,45.0,random_walk,0.3177349215887449,1,200021.51328302617,10992,8517.0,117.11289072036743,dynamic_3step|seed=58
nstep_N3,1,dynamic_3step,17,59,5,200000.0,45.0,random_walk,0.35806877808258325,1,200023.9731432605,13141,8508.0,134.20416045188904,dynamic_3step|seed=59
nstep_N3,1,dynamic_3step,18,60,5,200000.0,45.0,random_walk,0.3687022306374661,1,200006.14643440567,14287,8521.0,133.465895652771,dynamic_3step|seed=60
nstep_N3,1,dynamic_3step,19,61,5,200000.0,45.0,random_walk,0.3725235109352108,1,200010.60672216874,14427,8517.0,134.0140974521637,dynamic_3step|seed=61
nstep_N3,1,dynamic_3step,20,62,5,200000.0,45.0,random_walk,0.3742421303361403,1,200003.580771962,14521,8519.0,133.47257542610168,dynamic_3step|seed=62
nstep_N3,1,dynamic_3step,21,63,5,200000.0,45.0,random_walk,0.37345991556329555,0,200001.90380020256,14980,8535.0,132.76337838172913,dynamic_3step|seed=63
nstep_N3,1,dynamic_3step,22,64,5,200000.0,45.0,random_walk,0.37489282597138934,0,200015.9711138925,14978,8535.0,136.2182469367981,dynamic_3step|seed=64
nstep_N3,1,dynamic_3step,23,65,5,200000.0,45.0,random_walk,0.31541159657049,0,200009.53334951954,10665,8499.0,114.26489353179932,dynamic_3step|seed=65
nstep_N3,1,dynamic_3step,24,66,5,200000.0,45.0,random_walk,0.32470753693135,0,200007.6520347399,11211,8500.0,135.4801380634308,dynamic_3step|seed=66
nstep_N3,1,dynamic_3step,25,67,5,200000.0,45.0,random_walk,0.37431899659943985,0,200006.90312454803,14837,8525.0,134.80923080444336,dynamic_3step|seed=67
nstep_N3,1,dynamic_3step,26,68,5,200000.0,45.0,random_walk,0.3589519020731897,0,200011.8579174268,13662,8499.0,131.09889721870422,dynamic_3step|seed=68
nstep_N3,1,dynamic_3step,27,69,5,200000.0,45.0,random_walk,0.37437362039408895,1,200019.42287072018,14397,8522.0,132.43428444862366,dynamic_3step|seed=69
nstep_N3,1,dynamic_3step,28,70,5,200000.0,45.0,random_walk,0.3602968087130062,1,200023.3188610797,14316,8533.0,132.45380902290344,dynamic_3step|seed=70
nstep_N3,1,dynamic_3step,29,71,5,200000.0,45.0,random_walk,0.37604528133027776,1,200016.78509418084,14667,8513.0,134.04942107200623,dynamic_3step|seed=71
nstep_N3,1,dynamic_3step,30,72,5,200000.0,45.0,random_walk,0.37065444452482216,0,200010.06132143317,14608,8509.0,133.3592312335968,dynamic_3step|seed=72
nstep_N3,1,dynamic_3step,31,73,5,200000.0,45.0,random_walk,0.360711768545716,1,200021.0365838335,13827,8520.0,135.5759472846985,dynamic_3step|seed=73
nstep_N3,1,dynamic_3step,32,74,5,200000.0,45.0,random_walk,0.35453201621963126,1,200017.56031456369,13118,8524.0,132.67109751701355,dynamic_3step|seed=74
nstep_N3,1,dynamic_3step,33,75,5,200000.0,45.0,random_walk,0.37073682041560396,1,200013.24974606847,14817,8506.0,130.47166681289673,dynamic_3step|seed=75
nstep_N3,1,dynamic_3step,34,76,5,200000.0,45.0,random_walk,0.36033874048901454,0,200003.02845680632,13743,8516.0,134.3417263031006,dynamic_3step|seed=76
nstep_N3,1,dynamic_3step,35,77,5,200000.0,45.0,random_walk,0.34018561866811364,0,200006.4622484527,12229,8518.0,133.25264048576355,dynamic_3step|seed=77
nstep_N3,1,dynamic_3step,36,78,5,200000.0,45.0,random_walk,0.3376482778745442,1,200007.87074963382,12424,8506.0,120.80907130241394,dynamic_3step|seed=78
nstep_N3,1,dynamic_3step,37,79,5,200000.0,45.0,random_walk,0.35736103456551344,1,200018.10159050624,13458,8521.0,132.478369474411,dynamic_3step|seed=79
nstep_N3,1,dynamic_3step,38,80,5,200000.0,45.0,random_walk,0.3698519295885559,0,200004.82606763262,13968,8510.0,136.03640174865723,dynamic_3step|seed=80
nstep_N3,1,dynamic_3step,39,81,5,200000.0,45.0,random_walk,0.3784958074344964,1,200018.4741858924,14664,8512.0,132.15853810310364,dynamic_3step|seed=81
nstep_N3,1,dynamic_3step,40,82,5,200000.0,45.0,random_walk,0.3507527550256009,0,200006.6384729925,13029,8518.0,132.6659712791443,dynamic_3step|seed=82
nstep_N3,1,dynamic_3step,41,83,5,200000.0,45.0,random_walk,0.32505291708383927,0,200021.16013902816,12238,8512.0,119.88423776626587,dynamic_3step|seed=83
nstep_N3,1,dynamic_3step,42,84,5,200000.0,45.0,random_walk,0.3337970816302378,0,200011.54459835048,11944,8547.0,135.28993844985962,dynamic_3step|seed=84
nstep_N3,1,dynamic_3step,43,85,5,200000.0,45.0,random_walk,0.34541005791411417,0,200016.0235559565,12455,8495.0,133.8722038269043,dynamic_3step|seed=85
nstep_N3,1,dynamic_3step,44,86,5,200000.0,45.0,random_walk,0.3510278373166046,0,200009.20875205583,12879,8510.0,131.3367156982422,dynamic_3step|seed=86
nstep_N3,1,dynamic_3step,45,87,5,200000.0,45.0,random_walk,0.3769819317035378,0,200001.79126128985,14639,8523.0,133.30519580841064,dynamic_3step|seed=87
nstep_N3,1,dynamic_3step,46,88,5,200000.0,45.0,random_walk,0.36818434612202056,0,200011.27904817768,14044,8525.0,135.2715606689453,dynamic_3step|seed=88
nstep_N3,1,dynamic_3step,47,89,5,200000.0,45.0,random_walk,0.3544500801682965,0,200019.74635961142,14067,8523.0,134.1885368824005,dynamic_3step|seed=89
nstep_N3,1,dynamic_3step,48,90,5,200000.0,45.0,random_walk,0.33025798825441854,1,200000.48199013196,11970,8511.0,117.62744522094727,dynamic_3step|seed=90
