dataset,planning_seed,k,comparator,dRetention_Pdet_Dyn_OS,dDegradation_NRMST_Dyn_OS,dPdet,dRMST_rel,dRetention_Pdet_Dyn_Pizza,dDegradation_NRMST_Dyn_Pizza
1,46,3,pizza_repartition,,,0.031782188784002435,0.021257279770308737,0.009214016977372341,-0.01556948915381906
1,47,1,pizza_repartition,,,0.01229026861222049,0.014151311791012647,-0.09515560874424223,-0.014846542621168024
1,47,2,pizza_repartition,,,0.042188071682434825,0.01678444512369935,0.007711652720328921,-0.012213409288481247
1,47,3,pizza_repartition,,,0.022934407684087582,0.014073236985154114,-0.01826586705878741,-0.014924617427026554
1,48,1,pizza_repartition,,,0.04612783842319851,0.02797528230749729,0.04795032594850601,0.003822172617970576
1,48,2,pizza_repartition,,,0.013298104339037442,0.011954292653019125,-0.029279129735560683,-0.012198817036507492
1,48,3,pizza_repartition,,,0.021922608873740257,0.01265290503918031,0.011017215296430627,-0.011500204650346402
1,49,1,pizza_repartition,,,0.020527693511326495,0.0165334662449521,-0.06166252139256445,-0.015249707268744861
1,49,2,pizza_repartition,,,0.050428154335848074,0.027258694921102087,0.04037609363184702,-0.0045244785925947495
1,49,3,pizza_repartition,,,0.03128823407271325,0.015457319292556244,0.01178131892535128,-0.016325854221140634
1,50,1,pizza_repartition,,,0.035453133043877705,0.017614535750013052,0.04046697201373206,0.005729634759767066
1,50,2,pizza_repartition,,,0.054492765351899564,0.03341287232485012,0.10693052800288028,0.021527971334604157
1,50,3,pizza_repartition,,,0.025583702521806,0.016741393345819682,0.03557324536803108,0.004856492355573727
1,51,1,pizza_repartition,,,0.0471775684638891,0.03291452891904384,0.020175320328807977,-0.0015633828456855792
1,51,2,pizza_repartition,,,0.004487136469029096,-0.0033141177496415464,-0.07582300715831936,-0.037792029514371106
1,51,3,pizza_repartition,,,0.03597080435144581,0.020733897870090334,0.030915351754145504,-0.013744013894639084
5,42,1,pizza_repartition,,,-0.003544944701217828,-0.0025001931135337084,-0.019320228479574486,-0.001335060316052572
5,42,2,pizza_repartition,,,-0.018770548182624164,-0.006650113274977399,-0.07197023327825569,-0.005484980477496237
5,42,3,pizza_repartition,,,-0.003805850658154586,-0.008061872567382132,-0.01775049444997967,-0.006896739769901017
5,43,1,pizza_repartition,,,0.009578190592271607,0.0025757843638965867,0.00857645219215053,0.0018097236543462847
5,43,2,pizza_repartition,,,0.004202494252144029,0.0011085651202811606,-0.005793460011746299,0.000342504410730915
5,43,3,pizza_repartition,,,0.0009800186937142241,-0.0009195280318651373,-0.012151998983742862,-0.0016855887414154447
5,44,1,pizza_repartition,,,-0.010756655995319886,-0.007101815265755787,0.05244089007915187,-0.001960264607515416
5,44,2,pizza_repartition,,,-3.48317445596491e-05,-0.0027295002892207343,0.07846120405063861,0.0024120503690194806
5,44,3,pizza_repartition,,,0.0003158853878399426,-0.0018193279743236514,0.061314825319834565,0.003322222683916576
5,45,1,pizza_repartition,,,0.01154008166893472,-0.0006431372740465259,0.039690634177932504,0.0011048672456401842
5,45,2,pizza_repartition,,,-0.008774460464230333,-0.0008268202508933168,-0.0323275791880091,0.0009211842687933958
5,45,3,pizza_repartition,,,0.0060222448335301715,0.0009265409188956956,0.020562307057920393,0.0026745454385824763
5,46,1,pizza_repartition,,,0.006495887944153789,0.0010259565207292798,0.09377017117224695,0.01173221840112959
5,46,2,pizza_repartition,,,0.008435103397114951,0.0011623298174067976,0.08940686678901699,0.011868591697807074
5,46,3,pizza_repartition,,,0.0008541097199168401,4.3184275819473955e-05,0.046825314745146396,0.010749446156219755
5,47,1,pizza_repartition,,,0.0010560717882786563,0.00023296014855351646,0.005360100383836275,1.2462548799163642e-05
5,47,2,pizza_repartition,,,0.010351488066542708,0.0019667345169811596,0.0382393217160677,0.0017462369172268621
5,47,3,pizza_repartition,,,0.0050846148865804075,0.002031738756772154,0.019143287643950124,0.0018112411570178066
5,48,1,pizza_repartition,,,-0.004660125560765976,-0.00366967566616849,0.00120294085007,0.0009401839115481536
5,48,2,pizza_repartition,,,-0.0023267155564963837,-0.002997117376368855,0.006563361218088204,0.0016127422013477721
5,48,3,pizza_repartition,,,0.005073561431365642,0.0021096316167050462,0.029939222420666156,0.006719491194421612
5,49,1,pizza_repartition,,,0.003157885862375809,0.0012144317248031975,0.10240416632806715,0.009765724211989957
5,49,2,pizza_repartition,,,-0.0024414220385417795,-0.0014961511176434705,0.06490379710545557,0.007055141369543327
5,49,3,pizza_repartition,,,0.005180452765015553,0.0020615951948824533,0.0773028056217403,0.01061288768206925
