dataset,planning_seed,k,comparator,dRetention_Pdet,dDegradation_NRMST,dPdet,dRMST_rel
10,42,1,online_static_3step_vs_pizza_repartition,0.1966941575601977,0.023618933250818208,-0.0659571927514993,-0.01385183617969358
10,42,2,online_static_3step_vs_pizza_repartition,0.2021724712037547,0.027807804679193415,-0.053336998437612554,-0.009662964751318535
10,42,3,online_static_3step_vs_pizza_repartition,0.288750002291435,0.046289258781831655,-0.03292992009295784,0.008818489351319778
10,43,1,online_static_3step_vs_pizza_repartition,0.06816778967242032,0.010749651075380506,-0.06718191895872229,-0.01488615587618183
10,43,2,online_static_3step_vs_pizza_repartition,0.21116799830571442,0.028347883551066877,-0.03910836238482979,0.002712076599504561
10,43,3,online_static_3step_vs_pizza_repartition,0.2613569297327958,0.04166548444306517,-0.023481888865113765,0.01602967749150282
10,44,1,online_static_3step_vs_pizza_repartition,0.07688742024749351,0.012516590087875423,-0.06941247741729847,-0.015982042450299615
10,44,2,online_static_3step_vs_pizza_repartition,0.19480951613049147,0.027366782940916545,-0.04430374920906634,-0.001131849597258511
10,44,3,online_static_3step_vs_pizza_repartition,0.331171870810665,0.04789380449893077,-0.018168435830600738,0.01939517196075561
10,45,1,online_static_3step_vs_pizza_repartition,0.06639734841505651,0.012071621433630053,-0.07196949327150107,-0.02181964871120579
10,45,2,online_static_3step_vs_pizza_repartition,0.2824626851962011,0.0372989671095616,-0.03520698962555416,0.003407696964725744
10,45,3,online_static_3step_vs_pizza_repartition,0.21465285957488378,0.03744256227880138,-0.033457273250808606,0.003551292133965545
10,46,1,online_static_3step_vs_pizza_repartition,0.09087506265803902,0.015933638980740406,-0.0689424126275103,-0.018135437368881666
10,46,2,online_static_3step_vs_pizza_repartition,0.38245802669822193,0.044909297196970344,-0.023180383998441884,0.010840220847348259
10,46,3,online_static_3step_vs_pizza_repartition,0.2947229630252548,0.048509885447969414,-0.023838790802672982,0.014440809098347404
10,47,1,online_static_3step_vs_pizza_repartition,0.1569756234971934,0.021224369956091893,-0.0688288557310093,-0.01894807120909735
10,47,2,online_static_3step_vs_pizza_repartition,0.27732444828501057,0.03800688071946212,-0.043546465573212206,-0.002165560445727071
10,47,3,online_static_3step_vs_pizza_repartition,0.3220091901824632,0.046934754871434725,-0.027878243859975255,0.006762313706245521
10,48,1,online_static_3step_vs_pizza_repartition,0.12751118602794176,0.01136671401593703,-0.039261507631950965,-0.0011435492996857376
10,48,2,online_static_3step_vs_pizza_repartition,0.15746694065288336,0.007959723663153229,-0.02708846179944796,-0.004550539652469519
10,48,3,online_static_3step_vs_pizza_repartition,0.06379929683430641,0.017143988255128195,-0.033464280221200404,0.004633724939505425
10,49,1,online_static_3step_vs_pizza_repartition,0.04434447847936818,0.004775934393685843,-0.0559201441154156,-0.01167763372146535
10,49,2,online_static_3step_vs_pizza_repartition,0.1866069347745365,0.019979386807263633,-0.027656760988713114,0.0035258186921124845
10,49,3,online_static_3step_vs_pizza_repartition,0.30092175464057447,0.03406604379032141,-0.004060822401126596,0.017612475675170238
10,50,1,online_static_3step_vs_pizza_repartition,0.08963372393013136,0.01136707451090535,-0.045972539105006954,7.754628836064776e-05
10,50,2,online_static_3step_vs_pizza_repartition,0.04984175144542935,0.010068178581489451,-0.043576331112458955,-0.0012213496410552421
10,50,3,online_static_3step_vs_pizza_repartition,0.17666905781998687,0.03013024393139918,-0.018230200255152873,0.01884071570885449
10,51,1,online_static_3step_vs_pizza_repartition,0.07704208646220889,0.011319055331275196,-0.06878922182277646,-0.019264689146247935
10,51,2,online_static_3step_vs_pizza_repartition,0.3209502610500913,0.03776753511889441,-0.028519792419406192,0.00718379064137135
10,51,3,online_static_3step_vs_pizza_repartition,0.3273620218544301,0.0487823431689941,-0.018043826460228923,0.01819859869147095
