dataset,planning_seed,k,planning_mode,P_detect,RMST,NRMST,retention_Pdet,retention_invalid_reason,degradation_NRMST,T,H,T_common,H_common,budget_total,actual_distance_total,budget_utilization,termination_reason,active_fleet,failed_drone_ids,pizza_assignment_hash
5,42,0,dynamic_evidence_3step,0.28290324986669824,7232.1944597160045,0.827671602164798,1.0,none,0.0,8535,8536,8737,8738,200000.0,200004.38902980025,1.0000219451490013,budget_exhausted,5,[],none
5,42,0,online_static_3step,0.1998518531096185,7470.135066972704,0.8549021591866222,1.0,none,0.0,8640,8641,8737,8738,200000.0,200019.17558810007,1.0000958779405003,budget_exhausted,5,[],none
5,42,0,pizza_repartition,0.28070299010501487,7222.013529331615,0.8265064693673169,1.0,none,0.0,8011,8012,8737,8738,200000.0,200011.1810343238,1.000055905171619,budget_exhausted,5,[],204aabaa1616ca707a2c1d4296b87bcc4248e4499b1038aee72c8fc46a37a48c
5,42,1,dynamic_evidence_3step,0.2415067182850677,7453.107863137376,0.8529535206154012,0.8536724777776987,none,0.025281918450603236,8554,8555,8737,8738,160000.0,160007.4821219762,1.0000467632623513,budget_exhausted,4,[3],none
5,42,1,online_static_3step,0.16696357027726438,7682.634884416536,0.8792212044422678,0.8354366881236025,none,0.024319045255645655,8617,8618,8737,8738,160000.0,160010.88719865418,1.0000680449915886,budget_exhausted,4,[3],none
5,42,1,pizza_repartition,0.24505166298628553,7431.261175711318,0.8504533275018675,0.8729927062572732,none,0.023946858134550664,8010,8011,8737,8738,160000.0,160007.09846185916,1.0000443653866198,budget_exhausted,4,[3],35a881cb2a4c73aa5fa284a47b2dc8df89f7758047788214c79c408cd8468aa6
5,42,2,dynamic_evidence_3step,0.1840854623009938,7727.781565558748,0.8843879109131092,0.6507011226902957,none,0.05671630874831124,8543,8544,8737,8738,120000.0,120009.13530388224,1.000076127532352,budget_exhausted,3,"[3,4]",none
5,42,2,online_static_3step,0.19208249231828606,7685.54409944198,0.8795541427605836,0.9611243995467434,none,0.024651983573961478,8492,8493,8737,8738,120000.0,120001.59810847041,1.0000133175705868,budget_exhausted,3,"[3,4]",none
5,42,2,pizza_repartition,0.20285601048361795,7669.672875761996,0.8777377976381319,0.7226713559685514,none,0.051231328270815,8010,8011,8737,8738,120000.0,120010.44835174561,1.00008706959788,budget_exhausted,3,"[3,4]",f6aea97c040a5c453c6bcea020c2227a2c9844a39a20a0057ce323817c583ab2
5,42,3,dynamic_evidence_3step,0.1513053098922464,8017.212402892411,0.9175111470465107,0.5348305824112669,none,0.08983954488171275,8591,8592,8737,8738,80000.0,80001.85927848575,1.0000232409810719,budget_exhausted,2,"[3,4,2]",none
