dataset,planning_seed,condition_id,control,method,dPdet,dRMST_rel,dL,H_common,exposure_multiplicity_control,exposure_multiplicity_method,revisit_fraction_control,revisit_fraction_method,replans_control,replans_method,planner_wall_time_control,planner_wall_time_method,initial_positions_hash,planning_seed_common,alpha,w
1,48,alpha_0.5,online_static_3step,dynamic_3step,0.026803723400780965,0.007624365956626384,0.04451638792423157,8710.0,16.098961231682434,12.232387264082986,0.9378841910599784,0.9182498086096225,4320.0,4024.0,429.13963434426114,422.6868262011558,4aae7d3fd5610a876fe9bbaab463a83d8aeb4baf283a46ff967cce3f9e26de26,48,0.5,0.5
1,48,alpha_0.75,online_static_3step,dynamic_3step,0.017934790120898866,0.004973797391751715,0.04451638792423157,8710.0,16.098961231682434,12.232387264082986,0.9378841910599784,0.9182498086096225,4320.0,4024.0,429.13963434426114,422.6868262011558,4aae7d3fd5610a876fe9bbaab463a83d8aeb4baf283a46ff967cce3f9e26de26,48,0.75,0.5
1,49,alpha_0,online_static_3step,dynamic_3step,0.14521108955322798,0.06869087727407261,0.14534806913177659,8619.0,27.639562911778885,11.591065056272303,0.9638199777908268,0.9137266510760487,4174.0,4006.0,402.7102649335284,426.27120195585303,8542f702a4f00f38f331770accdb832ab7fd5821d0a61dc5c15feb3cec0e38d0,49,0.0,0.5
1,49,alpha_0.25,online_static_3step,dynamic_3step,0.1150107167520007,0.053995804219035715,0.14534806913177659,8619.0,27.639562911778885,11.591065056272303,0.9638199777908268,0.9137266510760487,4174.0,4006.0,402.7102649335284,426.27120195585303,8542f702a4f00f38f331770accdb832ab7fd5821d0a61dc5c15feb3cec0e38d0,49,0.25,0.5
1,49,alpha_0.5,online_static_3step,dynamic_3step,0.08481034395077348,0.03930073116399786,0.14534806913177659,8619.0,27.639562911778885,11.591065056272303,0.9638199777908268,0.9137266510760487,4174.0,4006.0,402.7102649335284,426.27120195585303,8542f702a4f00f38f331770accdb832ab7fd5821d0a61dc5c15feb3cec0e38d0,49,0.5,0.5
1,49,alpha_0.75,online_static_3step,dynamic_3step,0.0546099711495462,0.024605658108943124,0.14534806913177659,8619.0,27.639562911778885,11.591065056272303,0.9638199777908268,0.9137266510760487,4174.0,4006.0,402.7102649335284,426.27120195585303,8542f702a4f00f38f331770accdb832ab7fd5821d0a61dc5c15feb3cec0e38d0,49,0.75,0.5
1,50,alpha_0,online_static_3step,dynamic_3step,0.0784627856079893,0.029359818266322404,0.0784352852174387,8593.0,20.74228675136116,13.794802867383513,0.9517893079009537,0.9275089314712569,4166.0,4149.0,409.10184011468664,441.43138685822487,0bcd08d9c5dd844ced37907c5e74335e22a8594076973ffb45d7b8eedb9ffc21,50,0.0,0.5
1,50,alpha_0.25,online_static_3step,dynamic_3step,0.06178012172208952,0.022934557518899827,0.0784352852174387,8593.0,20.74228675136116,13.794802867383513,0.9517893079009537,0.9275089314712569,4166.0,4149.0,409.10184011468664,441.43138685822487,0bcd08d9c5dd844ced37907c5e74335e22a8594076973ffb45d7b8eedb9ffc21,50,0.25,0.5
1,50,alpha_0.5,online_static_3step,dynamic_3step,0.04509745783618979,0.016509296771581503,0.0784352852174387,8593.0,20.74228675136116,13.794802867383513,0.9517893079009537,0.9275089314712569,4166.0,4149.0,409.10184011468664,441.43138685822487,0bcd08d9c5dd844ced37907c5e74335e22a8594076973ffb45d7b8eedb9ffc21,50,0.5,0.5
1,50,alpha_0.75,online_static_3step,dynamic_3step,0.028414793950290076,0.010084036024197772,0.0784352852174387,8593.0,20.74228675136116,13.794802867383513,0.9517893079009537,0.9275089314712569,4166.0,4149.0,409.10184011468664,441.43138685822487,0bcd08d9c5dd844ced37907c5e74335e22a8594076973ffb45d7b8eedb9ffc21,50,0.75,0.5
1,51,alpha_0,online_static_3step,dynamic_3step,0.144099647348699,0.06698689598050903,0.1442470123677147,8976.0,28.973152191492805,11.897232368642877,0.9654852881249966,0.9159468379691679,3549.0,4061.0,351.19914664607495,442.50360047305,6fd43b0bf15e2a3328db22762d4ed33f7ce69b03a8096df04e90603800be5e91,51,0.0,0.5
1,51,alpha_0.25,online_static_3step,dynamic_3step,0.1139613007844198,0.05262100674049866,0.1442470123677147,8976.0,28.973152191492805,11.897232368642877,0.9654852881249966,0.9159468379691679,3549.0,4061.0,351.19914664607495,442.50360047305,6fd43b0bf15e2a3328db22762d4ed33f7ce69b03a8096df04e90603800be5e91,51,0.25,0.5
1,51,alpha_0.5,online_static_3step,dynamic_3step,0.08382295422014058,0.038255117500283126,0.1442470123677147,8976.0,28.973152191492805,11.897232368642877,0.9654852881249966,0.9159468379691679,3549.0,4061.0,351.19914664607495,442.50360047305,6fd43b0bf15e2a3328db22762d4ed33f7ce69b03a8096df04e90603800be5e91,51,0.5,0.5
1,51,alpha_0.75,online_static_3step,dynamic_3step,0.05368460765586143,0.023889228260106997,0.1442470123677147,8976.0,28.973152191492805,11.897232368642877,0.9654852881249966,0.9159468379691679,3549.0,4061.0,351.19914664607495,442.50360047305,6fd43b0bf15e2a3328db22762d4ed33f7ce69b03a8096df04e90603800be5e91,51,0.75,0.5
7,42,alpha_0,online_static_3step,dynamic_3step,0.0737841651679558,0.028107375943839778,0.07388801555826498,8233.0,24.62956629877196,10.141508840369974,0.9593983918405473,0.901395343065784,5622.0,4811.0,483.59430618886836,504.27060986938886,006da335f256203469592a62a852eccffab880f7309f6633631136cbb4337c3b,42,0.0,0.5
7,42,alpha_0.25,online_static_3step,dynamic_3step,0.06224255149683049,0.02365990200833883,0.07388801555826498,8233.0,24.62956629877196,10.141508840369974,0.9593983918405473,0.901395343065784,5622.0,4811.0,483.59430618886836,504.27060986938886,006da335f256203469592a62a852eccffab880f7309f6633631136cbb4337c3b,42,0.25,0.5
