dataset,planning_seed,k,comparator,dRetention_Pdet,dDegradation_NRMST,dPdet,dRMST_rel
1,46,3,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,0.07672819824685145,-0.10608473648198098,0.19336144452813306,0.0028045445445830657
1,46,0,online_static_3step_vs_random_uniform_n8_uncoordinated,,,0.15433530751344027,-0.006523417111949478
1,46,1,online_static_3step_vs_random_uniform_n8_uncoordinated,0.4290636239843243,0.04297143747102635,0.2096911391107458,0.03629213707394675
1,46,2,online_static_3step_vs_random_uniform_n8_uncoordinated,0.07657537556503113,-0.012267538496136432,0.10785065211810337,-0.019257343606626894
1,46,3,online_static_3step_vs_random_uniform_n8_uncoordinated,0.008824428889179448,-0.04349788978031538,0.07366072941564025,-0.05076762239580124
1,46,0,pizza_repartition_vs_random_uniform_n8_uncoordinated,,,0.29936044169594006,0.07280882760597267
1,46,1,pizza_repartition_vs_random_uniform_n8_uncoordinated,-0.00288829799639434,-0.02748798782498025,0.258666251998241,0.04516495649586218
1,46,2,pizza_repartition_vs_random_uniform_n8_uncoordinated,0.0931434279718093,-0.05683744671942883,0.21291108196492475,0.01550499288800283
1,46,3,pizza_repartition_vs_random_uniform_n8_uncoordinated,0.06751418126947911,-0.09051524732816188,0.16157925574413054,-0.018452735225725672
1,46,0,dynamic_evidence_3step_vs_online_static_3step,,,0.1980074792692479,0.11615901364204993
1,46,1,dynamic_evidence_3step_vs_online_static_3step,-0.4207556525806341,-0.0764327061843843,0.09896306810201241,0.0397263074576656
1,46,2,dynamic_evidence_3step_vs_online_static_3step,0.027641782428061812,-0.0636485771433264,0.14652273497357826,0.05251043649872361
1,46,3,dynamic_evidence_3step_vs_online_static_3step,0.067903769357672,-0.0625868467016656,0.1197007151124928,0.0535721669403843
1,46,0,dynamic_evidence_3step_vs_pizza_repartition,,,0.052982345086748095,0.036826768924127784
1,46,1,dynamic_evidence_3step_vs_pizza_repartition,0.011196269400084558,-0.005973280888377702,0.04998795521451721,0.03085348803575017
1,46,2,dynamic_evidence_3step_vs_pizza_repartition,0.011073730021283645,-0.019078668920034007,0.04146230512675689,0.017748100004093888
1,46,3,dynamic_evidence_3step_vs_pizza_repartition,0.009214016977372341,-0.015569489153819102,0.03178218878400252,0.021257279770308737
1,46,0,online_static_3step_vs_pizza_repartition,,,-0.1450251341824998,-0.07933224471792215
1,46,1,online_static_3step_vs_pizza_repartition,0.43195192198071863,0.0704594252960066,-0.048975112887495204,-0.00887281942191543
1,46,2,online_static_3step_vs_pizza_repartition,-0.016568052406778166,0.0445699082232924,-0.10506042984682139,-0.034762336494629724
1,46,3,online_static_3step_vs_pizza_repartition,-0.058689752380299665,0.0470173575478465,-0.08791852632849029,-0.032314887170075565
1,47,0,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,,,0.3593435134091308,0.1368949688060253
1,47,1,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,-0.1357972974204884,-0.04219816272017028,0.274036743386906,0.09464180081047707
1,47,2,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,-0.08546701559347236,-0.06902609546720705,0.2544082951452928,0.06769138596334931
1,47,3,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,-0.10178968865414895,-0.10468998517750099,0.18386221080687856,0.031865272534263786
1,47,0,online_static_3step_vs_random_uniform_n8_uncoordinated,,,0.23370351735877157,0.0830588847591942
1,47,1,online_static_3step_vs_random_uniform_n8_uncoordinated,-0.20913008538910083,-0.05057571793644598,0.1589079936173013,0.032428161547370306
1,47,2,online_static_3step_vs_random_uniform_n8_uncoordinated,-0.11516217035311038,-0.05141681610619535,0.1574441277534131,0.03146458127752984
1,47,3,online_static_3step_vs_random_uniform_n8_uncoordinated,-0.2976292315166713,-0.09759542799241579,0.06963826941547036,-0.01487625432748209
1,47,0,pizza_repartition_vs_random_uniform_n8_uncoordinated,,,0.30359489438292026,0.10789711439384464
1,47,1,pizza_repartition_vs_random_uniform_n8_uncoordinated,-0.04064168867624618,-0.027351620099002185,0.2617464747746855,0.08049048901946441
1,47,2,pizza_repartition_vs_random_uniform_n8_uncoordinated,-0.09317866831380128,-0.05681268617872575,0.2122202234628579,0.05090694083964996
1,47,3,pizza_repartition_vs_random_uniform_n8_uncoordinated,-0.08352382159536154,-0.08976536775047449,0.16092780312279095,0.01779203554910967
1,47,0,dynamic_evidence_3step_vs_online_static_3step,,,0.1256399960503592,0.05383608404683112
1,47,1,dynamic_evidence_3step_vs_online_static_3step,0.07333278796861242,0.0083775552162757,0.11512874976960469,0.06221363926310676
1,47,2,dynamic_evidence_3step_vs_online_static_3step,0.02969515475963802,-0.017609279361011698,0.09696416739187969,0.036226804685819465
1,47,3,dynamic_evidence_3step_vs_online_static_3step,0.19583954286252236,-0.0070945571850851985,0.1142239413914082,0.046741526861745875
1,47,0,dynamic_evidence_3step_vs_pizza_repartition,,,0.05574861902621053,0.02899785441218068
1,47,1,dynamic_evidence_3step_vs_pizza_repartition,-0.09515560874424223,-0.014846542621168097,0.01229026861222049,0.014151311791012647
1,47,2,dynamic_evidence_3step_vs_pizza_repartition,0.007711652720328921,-0.012213409288481296,0.04218807168243488,0.01678444512369935
1,47,3,dynamic_evidence_3step_vs_pizza_repartition,-0.01826586705878741,-0.014924617427026499,0.02293440768408761,0.014073236985154114
1,47,0,online_static_3step_vs_pizza_repartition,,,-0.06989137702414866,-0.02483822963465044
1,47,1,online_static_3step_vs_pizza_repartition,-0.16848839671285465,-0.023224097837443797,-0.1028384811573842,-0.04806232747209411
1,47,2,online_static_3step_vs_pizza_repartition,-0.0219835020393091,0.005395870072530402,-0.054776095709444805,-0.019442359562120117
1,47,3,online_static_3step_vs_pizza_repartition,-0.21410540992130978,-0.0078300602419413,-0.0912895337073206,-0.03266828987659176
1,48,0,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,,,0.3334292880463097,0.09553926527474156
1,48,1,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,-0.05981291049874049,-0.023807110697090645,0.3028944226328118,0.07160385650873129
1,48,2,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,-0.11022356229842989,-0.06906576688394393,0.2226230502054377,0.026024860740789118
1,48,3,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,0.005547194650353693,-0.1012349437540343,0.18220138574269665,-0.006498932162539358
1,48,0,online_static_3step_vs_random_uniform_n8_uncoordinated,,,0.21569544483243264,0.04274046094654714
1,48,1,online_static_3step_vs_random_uniform_n8_uncoordinated,-0.3350871709123435,-0.04282602117176425,0.13009276857086874,-0.00021385829413667518
1,48,2,online_static_3step_vs_random_uniform_n8_uncoordinated,-0.05708448530114496,-0.05054871432942722,0.1557873285952109,-0.008256891032888585
1,48,3,online_static_3step_vs_random_uniform_n8_uncoordinated,0.17472128627098027,-0.0547868408411034,0.15809430493554674,-0.012849633577802794
1,48,0,pizza_repartition_vs_random_uniform_n8_uncoordinated,,,0.29977272044336795,0.07138615558521484
1,48,1,pizza_repartition_vs_random_uniform_n8_uncoordinated,-0.1077632364472465,-0.027629283315061245,0.2567665842096133,0.043628574201234
1,48,2,pizza_repartition_vs_random_uniform_n8_uncoordinated,-0.0809444325628692,-0.05686694984743643,0.20932494586640032,0.014070568087769993
1,48,3,pizza_repartition_vs_random_uniform_n8_uncoordinated,-0.005470020646076934,-0.0897347391036879,0.16027877686895645,-0.01915183720171967
1,48,0,dynamic_evidence_3step_vs_online_static_3step,,,0.11773384321387709,0.05279880432819442
1,48,1,dynamic_evidence_3step_vs_online_static_3step,0.27527426041360303,0.019018910474673602,0.1728016540619431,0.07181771480286796
1,48,2,dynamic_evidence_3step_vs_online_static_3step,-0.05313907699728493,-0.01851705255451671,0.0668357216102268,0.034281751773677704
1,48,3,dynamic_evidence_3step_vs_online_static_3step,-0.16917409162062658,-0.0464481029129309,0.024107080807149905,0.006350701415263436
1,48,0,dynamic_evidence_3step_vs_pizza_repartition,,,0.03365656760294178,0.02415310968952672
1,48,1,dynamic_evidence_3step_vs_pizza_repartition,0.04795032594850601,0.0038221726179706005,0.04612783842319851,0.02797528230749729
1,48,2,dynamic_evidence_3step_vs_pizza_repartition,-0.029279129735560683,-0.012198817036507506,0.013298104339037387,0.011954292653019125
1,48,3,dynamic_evidence_3step_vs_pizza_repartition,0.011017215296430627,-0.011500204650346402,0.0219226088737402,0.01265290503918031
1,48,0,online_static_3step_vs_pizza_repartition,,,-0.08407727561093531,-0.028645694638667698
1,48,1,online_static_3step_vs_pizza_repartition,-0.22732393446509702,-0.015196737856703002,-0.12667381563874458,-0.043842432495370676
1,48,2,online_static_3step_vs_pizza_repartition,0.023859947261724246,0.006318235518009203,-0.053537617271189414,-0.022327459120658578
1,48,3,online_static_3step_vs_pizza_repartition,0.1801913069170572,0.0349478982625845,-0.002184471933409704,0.006302203623916876
1,49,0,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,,,0.34502869676667,0.12187307000950774
1,49,1,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,-0.03735648562612004,-0.041291198267730866,0.27601672327149357,0.08036612964540889
1,49,2,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,0.0701801614788452,-0.059831980664069,0.2588200502114711,0.06160957418997742
1,49,3,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,-0.06839308976026826,-0.10587137078858573,0.18686532628967062,0.015463580994887026
1,49,0,online_static_3step_vs_random_uniform_n8_uncoordinated,,,0.2128197174879051,0.05152258906497748
1,49,1,online_static_3step_vs_random_uniform_n8_uncoordinated,-0.058620731219786726,-0.014792995445195665,0.1647666362457495,0.03651385152341372
1,49,2,online_static_3step_vs_random_uniform_n8_uncoordinated,-0.17251264590829907,-0.052953568489792005,0.1021730134184592,-0.0018624945802757878
