dataset,planning_seed,k,same_failure_identity,same_active_uav_ids,same_survivor_initial_positions,same_victim_seed,same_sensor_seed,same_environment_seed_semantics,same_domain,same_fov,same_pd,same_dt,same_speed,same_budget,same_termination_rule,same_sensor_pipeline,same_exposure_pipeline,random_target_exclusion_off,random_prior_access_false,random_belief_access_false,random_observation_access_false,same_failure_seed,no_hold_events,budget_expected,budget_actual,budget_error,max_step_distance,steps,termination_reason,total_exposure_events,step_bound_ok
5,46,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120000.0,120000.0,0.0,5.000000000466276,8000,budget_exhausted,91344,True
5,46,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,80000.0,80000.0,0.0,5.000000000466276,8000,budget_exhausted,60888,True
5,47,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,200000.0,200000.0,0.0,5.000000000465429,8000,budget_exhausted,152375,True
5,47,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,160000.0,160000.0,0.0,5.000000000465429,8000,budget_exhausted,121973,True
5,47,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120000.0,120000.0,0.0,5.000000000465429,8000,budget_exhausted,91386,True
5,47,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,80000.0,80000.0,0.0,5.000000000465429,8000,budget_exhausted,60938,True
5,48,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,200000.0,200000.0,0.0,5.000000000465426,8000,budget_exhausted,152417,True
5,48,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,160000.0,160000.0,0.0,5.000000000465426,8000,budget_exhausted,121930,True
5,48,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120000.0,120000.0,0.0,5.000000000462698,8000,budget_exhausted,91386,True
5,48,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,80000.0,80000.0,0.0,5.000000000462698,8000,budget_exhausted,60926,True
5,49,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,200000.0,200000.0,0.0,5.000000000464668,8000,budget_exhausted,152144,True
5,49,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,160000.0,160000.0,0.0,5.000000000464668,8000,budget_exhausted,121672,True
5,49,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120000.0,120000.0,0.0,5.000000000464668,8000,budget_exhausted,91264,True
5,49,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,80000.0,80000.0,0.0,5.000000000464668,8000,budget_exhausted,60822,True
5,50,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,200000.0,200000.0,0.0,5.000000000464833,8000,budget_exhausted,152328,True
5,50,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,160000.0,160000.0,0.0,5.000000000464833,8000,budget_exhausted,121895,True
5,50,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120000.0,120000.0,0.0,5.000000000464833,8000,budget_exhausted,91402,True
5,50,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,80000.0,80000.0,0.0,5.000000000464833,8000,budget_exhausted,60937,True
5,51,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,200000.0,200000.0,0.0,5.000000000466379,8000,budget_exhausted,152154,True
5,51,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,160000.0,160000.0,0.0,5.000000000466379,8000,budget_exhausted,121710,True
5,51,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120000.0,120000.0,0.0,5.000000000464996,8000,budget_exhausted,91213,True
5,51,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,80000.0,80000.0,0.0,5.000000000464996,8000,budget_exhausted,60877,True
10,42,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,200000.0,200000.0,0.0,5.000000000465136,8000,budget_exhausted,152085,True
10,42,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,160000.0,160000.0,0.0,5.000000000465136,8000,budget_exhausted,121713,True
10,42,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120000.0,120000.0,0.0,5.000000000464845,8000,budget_exhausted,91283,True
10,42,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,80000.0,80000.0,0.0,5.000000000464845,8000,budget_exhausted,60861,True
10,43,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,200000.0,200000.0,0.0,5.000000000465831,8000,budget_exhausted,152045,True
10,43,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,160000.0,160000.0,0.0,5.000000000465831,8000,budget_exhausted,121622,True
10,43,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120000.0,120000.0,0.0,5.000000000463497,8000,budget_exhausted,91259,True
10,43,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,80000.0,80000.0,0.0,5.000000000463343,8000,budget_exhausted,60879,True
10,44,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,200000.0,200000.0,0.0,5.000000000464474,8000,budget_exhausted,151967,True
10,44,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,160000.0,160000.0,0.0,5.000000000464474,8000,budget_exhausted,121566,True
10,44,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120000.0,120000.0,0.0,5.000000000464474,8000,budget_exhausted,91175,True
10,44,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,80000.0,80000.0,0.0,5.0000000004641905,8000,budget_exhausted,60782,True
10,45,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,200000.0,200000.0,0.0,5.000000000466206,8000,budget_exhausted,151917,True
10,45,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,160000.0,160000.0,0.0,5.000000000465697,8000,budget_exhausted,121496,True
10,45,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120000.0,120000.0,0.0,5.000000000465697,8000,budget_exhausted,91142,True
10,45,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,80000.0,80000.0,0.0,5.000000000465697,8000,budget_exhausted,60732,True
10,46,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,200000.0,200000.0,0.0,5.000000000465848,8000,budget_exhausted,151955,True
10,46,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,160000.0,160000.0,0.0,5.000000000465848,8000,budget_exhausted,121574,True
10,46,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120000.0,120000.0,0.0,5.000000000465848,8000,budget_exhausted,91157,True
10,46,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,80000.0,80000.0,0.0,5.000000000465848,8000,budget_exhausted,60716,True
10,47,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,200000.0,200000.0,0.0,5.000000000464896,8000,budget_exhausted,151970,True
10,47,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,160000.0,160000.0,0.0,5.000000000464896,8000,budget_exhausted,121521,True
10,47,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120000.0,120000.0,0.0,5.000000000464896,8000,budget_exhausted,91110,True
10,47,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,80000.0,80000.0,0.0,5.000000000464896,8000,budget_exhausted,60692,True
10,48,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,200000.0,200000.0,0.0,5.000000000465503,8000,budget_exhausted,152035,True
10,48,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,160000.0,160000.0,0.0,5.000000000465413,8000,budget_exhausted,121693,True
10,48,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120000.0,120000.0,0.0,5.000000000465413,8000,budget_exhausted,91287,True
10,48,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,80000.0,80000.0,0.0,5.000000000465413,8000,budget_exhausted,60802,True
