dataset,dPdet_n,dPdet_mean,dPdet_sd,dPdet_se,dPdet_ci_lo,dPdet_ci_hi,dPdet_favorable_count,dPdet_n_total,dPdet_tost_p_lower,dPdet_tost_p_upper,dPdet_tost_p_max,dPdet_equivalent,dRMST_rel_n,dRMST_rel_mean,dRMST_rel_sd,dRMST_rel_se,dRMST_rel_ci_lo,dRMST_rel_ci_hi,dRMST_rel_favorable_count,dRMST_rel_n_total,dRMST_rel_tost_p_lower,dRMST_rel_tost_p_upper,dRMST_rel_tost_p_max,dRMST_rel_equivalent,state,contrast,method_label,source_planning_mode
11,10,0.18162184401330325,0.03886365166607615,0.012289765745619822,0.15382046240273733,0.20942322562386917,10,10,4.028352336801839e-08,0.9999998951917823,0.9999998951917823,False,10,0.08769480521614519,0.02404337029548681,0.007603181276057394,0.07049521423245876,0.10489439619983161,10,10,9.269575712820703e-08,0.9999953377350229,0.9999953377350229,False,IMPROVEMENT,online_static_3step,online_static_3step,online_static_3step
12,10,0.26126663843579395,0.02348220295378095,0.007425724581228143,0.244468482385402,0.2780647944861859,10,10,2.1378661010529978e-11,0.9999999999576,0.9999999999576,False,10,0.10204238783827164,0.012737763560065701,0.0040280345146502606,0.09293034070895717,0.11115443496758612,10,10,1.1369682343250658e-10,0.9999999961345746,0.9999999961345746,False,IMPROVEMENT,online_static_3step,online_static_3step,online_static_3step
13,10,0.31204994245030104,0.031613933186112955,0.009997203466450074,0.28943469702071994,0.33466518787988214,10,10,6.578027691851363e-11,0.9999999998834246,0.9999999998834246,False,10,0.1287421926792983,0.019161062299542037,0.006059259925493633,0.11503519443758675,0.14244919092100983,10,10,7.402323042595889e-10,0.9999999882223343,0.9999999882223343,False,IMPROVEMENT,online_static_3step,online_static_3step,online_static_3step
14,10,0.16795735322244504,0.031843396079664084,0.010069766004661508,0.14517795992729815,0.19073674651759193,10,10,1.3479925537335358e-08,0.9999999617776972,0.9999999617776972,False,10,0.09038314059187946,0.015258321960461495,0.004825105066722397,0.07946799460393948,0.10129828657981944,10,10,1.383503129462893e-09,0.9999999281280338,0.9999999281280338,False,IMPROVEMENT,online_static_3step,online_static_3step,online_static_3step
15,10,0.04964561456205295,0.021499552543908205,0.006798755471321716,0.03426576117448905,0.06502546794961686,10,10,5.258564596514398e-06,0.9998752446722324,0.9998752446722324,False,10,0.017741116129506865,0.01963866905896955,0.006210292444061937,0.0036924585941005856,0.031789773664913146,7,10,9.214065167486827e-05,0.36222784888424003,0.36222784888424003,False,IMPROVEMENT,online_static_3step,online_static_3step,online_static_3step
20,10,0.08927046296706038,0.015692057020956267,0.004962264135945837,0.07804504160823386,0.10049588432588691,10,10,4.5296143365924406e-09,0.9999999673891001,0.9999999673891001,False,10,-0.0018161138891436925,0.021038151223340417,0.006652847562481346,-0.016865900655615447,0.013233672877328063,5,10,0.01155069682021505,0.004770616073393348,0.01155069682021505,True,IMPROVEMENT,online_static_3step,online_static_3step,online_static_3step
25,10,0.08152338189467355,0.009587227985497899,0.0030317476881481097,0.0746650921461324,0.0883816716432147,10,10,1.1744351719588556e-10,0.9999999989467232,0.9999999989467232,False,10,-0.039274794033340846,0.0069842580839825814,0.0022086163311828525,-0.044271031286799226,-0.034278556779882466,0,10,0.9999945119395536,3.349876508861973e-10,0.9999945119395536,False,WORSENING,online_static_3step,online_static_3step,online_static_3step
30,10,0.060540581540697726,0.02965081901886533,0.009376412258905353,0.03932966338786609,0.08175149969352936,10,10,1.8020291419326042e-05,0.9997806976457058,0.9997806976457058,False,10,-0.006142827227168055,0.02026101581910493,0.006407095769707365,-0.020636684815345648,0.008351030361009539,3,10,0.029400116705549,0.001378401470273543,0.029400116705549,True,IMPROVEMENT,online_static_3step,online_static_3step,online_static_3step
1,10,0.3322424709812902,0.014304783323416486,0.004523569673718914,0.32200944544247023,0.3424754965201102,10,10,3.114411359931956e-14,0.9999999999999465,0.9999999999999465,False,10,0.12004324002547348,0.01439975931611756,0.004553603719716006,0.10974227275437337,0.1303442072965736,10,10,9.950655885327676e-11,0.9999999980206525,0.9999999980206525,False,IMPROVEMENT,dynamic_3step,dynamic_evidence_3step,dynamic_3step
2,10,0.22960904839800417,0.008884327186657392,0.0028094709387993257,0.22325358359012587,0.23596451320588246,10,10,1.0610499551113684e-14,0.9999999999999768,0.9999999999999768,False,10,0.10263579793441051,0.0030665047207781107,0.0009697139373317493,0.10044215260521024,0.10482944326361078,10,10,3.069578415519436e-16,0.9999999999999893,0.9999999999999893,False,IMPROVEMENT,dynamic_3step,dynamic_evidence_3step,dynamic_3step
3,10,0.23100541502426583,0.014158348979041483,0.004477263068129066,0.2208771423049658,0.24113368774356586,10,10,6.62526285052899e-13,0.9999999999985586,0.9999999999985586,False,10,0.10590180420969073,0.007104569206575425,0.0022466620487073654,0.10081950156382047,0.11098410685556098,10,10,4.616454167253128e-13,0.9999999999857847,0.9999999999857847,False,IMPROVEMENT,dynamic_3step,dynamic_evidence_3step,dynamic_3step
4,10,0.2590769155775663,0.005918404451737115,0.0018715638181569362,0.25484314408068864,0.26331068707444394,10,10,9.683251788392799e-17,0.9999999999999998,0.9999999999999998,False,10,0.0982120031813815,0.006273707236617939,0.0019839204240793603,0.09372406338362872,0.10269994297913428,10,10,2.6613792895071995e-13,0.9999999999891896,0.9999999999891896,False,IMPROVEMENT,dynamic_3step,dynamic_evidence_3step,dynamic_3step
5,10,0.2577668126075605,0.006431734078528671,0.002033892899267487,0.25316582721711817,0.26236779799800286,10,10,2.1382599591473638e-16,0.9999999999999996,0.9999999999999996,False,10,0.07376328341389979,0.018524596401350343,0.005857991736362574,0.060511585447874494,0.08701498137992508,10,10,3.205732307632068e-08,0.9999963632190721,0.9999963632190721,False,IMPROVEMENT,dynamic_3step,dynamic_evidence_3step,dynamic_3step
