dataset,planning_seed,victim_seed,sensor_seed,w,L_static3,L_dyn3,Pdet_static3,RMST_static3,Pdet_dyn3,RMST_dyn3,T_static,T_dynamic,T_common,horizon,revisit_weight,implementation_version,git_commit,experiment_id,config_hash,source_hash,belief_model,planning_mode,simulation_num_victims,evaluation_num_victims,victim_model,simulation_victim_model,victim_sampling_model,detection_probability,decay_tau,budget,size
1,49,25214903900,22562971621,0.0,0.2950475373734667,0.2950475373734667,0.0,8504.0,0.0,8504.0,8503,8503,8503,8504,0.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
1,49,25214903900,22562971621,0.5,0.22317148440613982,0.36847859780995884,0.0,8619.0,0.9999872,7873.25945600011,8618,8491,8618,8619,0.5,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
1,49,25214903900,22562971621,1.0,0.006784990522022593,0.33129878334729745,0.0,9130.0,0.0,9130.0,9129,8509,9129,9130,1.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
1,50,25214903903,22562971622,0.0,0.3597224832804038,0.3597224832804038,0.0,8517.0,0.0,8517.0,8516,8516,8516,8517,0.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
1,50,25214903903,22562971622,0.5,0.2665890215865684,0.34500220555269373,0.0,8593.0,0.0,8593.0,8592,8505,8592,8593,0.5,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
1,50,25214903903,22562971622,1.0,0.009066592667028708,0.3470194306405296,0.0,8794.0,0.0,8794.0,8793,8503,8793,8794,1.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
1,51,25214903902,22562971623,0.0,0.3540006909818717,0.3540006909818717,0.0,8526.0,0.0,8526.0,8525,8525,8525,8526,0.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
1,51,25214903902,22562971623,0.5,0.2207034878299234,0.3649098547220396,0.0,8976.0,0.0,8976.0,8975,8509,8975,8976,0.5,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
1,51,25214903902,22562971623,1.0,0.006876117784240084,0.3483880030390882,0.0,8634.0,0.0,8634.0,8633,8507,8633,8634,1.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
7,42,25214903879,22562971646,0.0,0.17690107512849373,0.17690107512849373,0.0,8249.0,0.0,8249.0,8248,8248,8248,8249,0.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
