dataset,planning_seed,L_os,L_os3,L_dyn,L_dyn3,implementation_version,git_commit,experiment_id,config_hash,source_hash,belief_model,planning_mode,revisit_weight,simulation_num_victims,evaluation_num_victims,victim_model,simulation_victim_model,victim_sampling_model,detection_probability,decay_tau,victim_seed,sensor_seed,budget,size,D1_B,D3_B,I_B,H_S_B,H_D_B
7,42,0.0368671506760561,0.0943928207671842,0.2105732036620849,0.1682598886868213,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.1737060529860288,0.0738670679196371,-0.09983898506639172,0.05752567009112809,-0.04231331497526361
7,43,0.0393200161473016,0.0471918935501075,0.2246040393006248,0.166426660193783,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.1852840231533232,0.1192347666436755,-0.06604925650964771,0.007871877402805899,-0.058177379106841814
7,44,0.0637826103047365,0.0434887833207757,0.2085875481509938,0.2080980028490731,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.1448049378462573,0.16460921952829738,0.01980428168204007,-0.020293826983960803,-0.0004895453019207185
7,45,0.0249257532016769,0.0682738033886969,0.2245469607200755,0.1923170646292543,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.1996212075183986,0.1240432612405574,-0.0755779462778412,0.04334805018702,-0.03222989609082119
7,46,0.0592730912942125,0.0973240492110615,0.1874178973900079,0.20329067186751,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.12814480609579537,0.10596662265644849,-0.022178183439346882,0.038050957916848996,0.0158727744775021
7,47,0.0606492581509528,0.0968040723896194,0.1845692586190829,0.1798511018438559,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.1239200004681301,0.08304702945423649,-0.040872971013893616,0.036154814238666594,-0.004718156775227023
7,48,0.0493994057660668,0.0425509661716694,0.2138398841614142,0.1856665764877897,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.1644404783953474,0.1431156103161203,-0.021324868079227094,-0.006848439594397404,-0.028173307673624498
7,49,0.0504947880791117,0.0704341398983335,0.2261949056797436,0.213109828232292,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.1757001176006319,0.1426756883339585,-0.0330244292666734,0.019939351819221796,-0.013085077447451604
7,50,0.0405678741498592,0.0835305699416952,0.1852584200056145,0.1660390507747193,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.1446905458557553,0.0825084808330241,-0.0621820650227312,0.04296269579183601,-0.019219369230895178
7,51,0.0543345047907952,0.0666430887196352,0.2083106198628703,0.2026438127302547,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.1539761150720751,0.1360007240106195,-0.017975391061455598,0.012308583928840003,-0.005666807132615609
9,42,0.0280071392371664,0.1116748472935674,0.2261489708239634,0.2301957077077341,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.198141831586797,0.11852086041416669,-0.0796209711726303,0.083667708056401,0.004046736883770691
9,43,0.0384765978500148,0.1125055814175343,0.230388865944872,0.1931769148524242,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.1919122680948572,0.08067133343488989,-0.11124093465996732,0.0740289835675195,-0.03721195109244782
9,44,0.0419750450874998,0.1047272941923154,0.2387126059940066,0.2413644242267155,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.1967375609065068,0.1366371300344001,-0.0601004308721067,0.0627522491048156,0.002651818232708908
9,45,0.0716607994094972,0.0946228684987875,0.2305735188445734,0.2267781310636604,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.15891271943507618,0.13215526256487292,-0.026757456870203256,0.0229620690892903,-0.0037953877809129843
9,46,0.0515597167472439,0.0905308385548889,0.2295460096270503,0.2010739396395548,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.17798629287980638,0.1105431010846659,-0.06744319179514048,0.038971121807645004,-0.02847206998749549
9,47,0.060782416176736,0.0945223632787488,0.2343227531041306,0.2342838765744753,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.1735403369273946,0.1397615132957265,-0.03377882363166809,0.0337399471020128,-3.88765296552851e-05
9,48,0.0408842684960267,0.1203543739696037,0.2366747972657751,0.2364933842636994,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.1957905287697484,0.1161390102940957,-0.0796515184756527,0.079470105473577,-0.0001814130020756921
9,49,0.0619055553897828,0.0610886141948426,0.214624248970871,0.1931951273867922,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.15271869358108822,0.1321065131919496,-0.020612180389138618,-0.0008169411949401975,-0.02142912158407881
9,50,0.0455650216454971,0.0853216207784355,0.2173926125355998,0.2073037244416558,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.1718275908901027,0.12198210366322029,-0.049845487226882396,0.0397565991329384,-0.01008888809394401
