dataset,condition_id,curve,dPdet_n,dPdet_mean,dPdet_sd,dPdet_se,dPdet_ci_lo,dPdet_ci_hi,dPdet_favorable_count,dPdet_n_total,dPdet_tost_p_lower,dPdet_tost_p_upper,dPdet_tost_p_max,dPdet_equivalent,dRMST_rel_n,dRMST_rel_mean,dRMST_rel_sd,dRMST_rel_se,dRMST_rel_ci_lo,dRMST_rel_ci_hi,dRMST_rel_favorable_count,dRMST_rel_n_total,dRMST_rel_tost_p_lower,dRMST_rel_tost_p_upper,dRMST_rel_tost_p_max,dRMST_rel_equivalent,state
7,nominal,nominal,5,0.11742118920616602,0.03276776543282782,0.014654190195714165,0.07673463456663793,0.15810774384569412,5,5,0.00048155528108583646,0.9990783611557785,0.9990783611557785,False,5,0.05418160179695044,0.021986451853999407,0.00983264018591379,0.026881816081598977,0.0814813875123019,5,5,0.0008267753420446822,0.9872817645626271,0.9872817645626271,False,IMPROVEMENT
7,pd_060,p_d,5,0.11959229093951743,0.037729268554305445,0.016873041845754437,0.07274521649707498,0.16643936538195986,5,5,0.0007727225975945502,0.9985509571143687,0.9985509571143687,False,5,0.05279831754273221,0.01639374885031988,0.007331507367074855,0.03244278979969567,0.07315384528576875,5,5,0.0002888016493204143,0.9944780249598425,0.9944780249598425,False,IMPROVEMENT
7,pd_095,p_d,5,0.10653088460463825,0.028407609118892844,0.01270426901361746,0.07125817908666404,0.14180359012261246,5,5,0.0003921968935437229,0.9991951792061131,0.9991951792061131,False,5,0.052320441737738865,0.01960938452363948,0.00876958335835804,0.02797217494780166,0.07666870852767607,5,5,0.0005896250419656841,0.9894492278273147,0.9894492278273147,False,IMPROVEMENT
7,tau_128000,tau,5,0.11223764775372966,0.03585817920501553,0.016036265250356816,0.06771383759372301,0.1567614579137363,5,5,0.0007951658172957693,0.9984475566457541,0.9984475566457541,False,5,0.0529389456330947,0.023240142402495154,0.010393307643750889,0.024082497498787738,0.08179539376740166,5,5,0.001085636782833569,0.9830588587813094,0.9830588587813094,False,IMPROVEMENT
7,tau_2000,tau,5,0.113462429831094,0.02826344030321051,0.012639794759197192,0.07836873354121623,0.14855612612097177,5,5,0.00030774381304522427,0.999393363935061,0.999393363935061,False,5,0.056689386033992165,0.018456090846199768,0.00825381474620286,0.033773122482687865,0.07960564958529646,5,5,0.00037323662445524396,0.9943555054147823,0.9943555054147823,False,IMPROVEMENT
7,tau_32000,tau,5,0.1119478377378895,0.0355041733498543,0.015877949019042124,0.06786358390338988,0.15603209157238912,5,5,0.0007727635928254402,0.9984877343952641,0.9984877343952641,False,5,0.052897483986115226,0.023130270462491404,0.010344171418417255,0.024177459884123724,0.08161750808810672,5,5,0.0010687920990972767,0.9832370774374993,0.9832370774374993,False,IMPROVEMENT
7,w_0,w,5,0.0,0.0,0.0,0.0,0.0,0,5,0.0,0.0,0.0,True,5,0.0,0.0,0.0,0.0,0.0,0,5,0.0,0.0,0.0,True,EQUIVALENT
7,w_025,w,5,-0.023087972698900734,0.019641540415134363,0.008783963910209974,-0.047476166301637285,0.0013002209038358165,0,5,0.8947619118033621,0.009828884852675884,0.8947619118033621,False,5,-0.010603065684023999,0.009704176539606925,0.004339839681643953,-0.0226523923254675,0.0014462609574195043,0,5,0.048159280662242114,0.001066261990881077,0.048159280662242114,True,INCONCLUSIVE
7,w_075,w,5,0.1543260878255104,0.01910204617222008,0.00854269475008475,0.1306077648014387,0.1780444108495821,5,5,2.152237794082064e-05,0.9999640213120202,0.9999640213120202,False,5,0.07777752965935053,0.006267737138392002,0.0028030172613089043,0.0699951061044045,0.08555995321429656,5,5,2.015080712465316e-06,0.99998363919629,0.99998363919629,False,IMPROVEMENT
7,w_1,w,5,0.16052113208732446,0.018047550684338495,0.008071110031510745,0.13811213814682366,0.18293012602782527,5,5,1.483483758457836e-05,0.9999756675784512,0.9999756675784512,False,5,0.09270357987103048,0.010750599818265977,0.004807814398507922,0.07935494711759368,0.10605221262446728,5,5,9.815460055829424e-06,0.9999442644215374,0.9999442644215374,False,IMPROVEMENT
10,nominal,nominal,5,0.14784457316077498,0.019589948384411814,0.0087608912526514,0.12352043952518084,0.17216870679636914,5,5,2.7895152845605875e-05,0.9999523404374613,0.9999523404374613,False,5,0.07147718386686075,0.006603040011641698,0.002952969264836368,0.06327842680570629,0.07967594092801521,5,5,3.2351524912794274e-06,0.9999682144399321,0.9999682144399321,False,IMPROVEMENT
10,pd_060,p_d,5,0.15202701895180307,0.014326118685301596,0.006406835046812857,0.13423879314626982,0.1698152447573363,5,5,7.258255034175838e-06,0.9999877441699789,0.9999877441699789,False,5,0.07142671654256313,0.012727269206047285,0.005691807822532301,0.05562372457396682,0.08722970851115945,5,5,4.392287833034993e-05,0.9995843693005637,0.9995843693005637,False,IMPROVEMENT
10,pd_095,p_d,5,0.15124047201212623,0.0164834476578678,0.007371621893310419,0.13077356848907562,0.17170737553517684,5,5,1.2925570374041015e-05,0.9999781379489406,0.9999781379489406,False,5,0.07311184170692617,0.010437507761341476,0.004667795374008238,0.060151964088696094,0.08607171932515624,5,5,1.8634056452844283e-05,0.9998298764734066,0.9998298764734066,False,IMPROVEMENT
10,tau_128000,tau,5,0.1758670094164036,0.019672120602903492,0.008797639785933271,0.1514408454954558,0.2002931733373514,5,5,1.4836031667018915e-05,0.9999766952615554,0.9999766952615554,False,5,0.08095690564516127,0.011070404121247969,0.004950835230700857,0.06721118340224108,0.09470262788808145,5,5,1.7074980276845438e-05,0.9998750080164371,0.9998750080164371,False,IMPROVEMENT
10,tau_2000,tau,5,0.14402770535329062,0.0036433361462908146,0.0016293494575976759,0.13950390602708687,0.14855150467949438,5,5,3.753694460295096e-08,0.9999999345405852,0.9999999345405852,False,5,0.069404281588891,0.006102299271575081,0.0027290311980578664,0.06182727627711117,0.07698128690067084,5,5,2.588386304595447e-06,0.9999726275491885,0.9999726275491885,False,IMPROVEMENT
10,tau_32000,tau,5,0.16343059389973372,0.012670007156275849,0.00566619945536832,0.14769870215680195,0.1791624856426655,5,5,3.393920545342933e-06,0.9999944702891901,0.9999944702891901,False,5,0.07706824043777476,0.006172309283593681,0.0027603406272536995,0.06940430621455762,0.0847321746609919,5,5,1.9513070753989527e-06,0.9999838322170148,0.9999838322170148,False,IMPROVEMENT
10,w_0,w,5,0.0,0.0,0.0,0.0,0.0,0,5,0.0,0.0,0.0,True,5,0.0,0.0,0.0,0.0,0.0,0,5,0.0,0.0,0.0,True,EQUIVALENT
10,w_025,w,5,0.11938949666668223,0.023835108276766222,0.010659384471583428,0.08979430082613306,0.1489846925072314,5,5,0.00013214629012818976,0.9997458187364655,0.9997458187364655,False,5,0.04934331164193699,0.013972075947304645,0.0062485023209925905,0.03199468795800006,0.06669193532587392,5,5,0.00018752357496382033,0.9953321580989327,0.9953321580989327,False,IMPROVEMENT
10,w_075,w,5,0.16956981279689476,0.010721848546867396,0.004794956439050567,0.15625687946205616,0.18288274613173336,5,5,1.517976354230438e-06,0.9999975686518118,0.9999975686518118,False,5,0.09288878267439513,0.006830193892347945,0.003054555568558777,0.08440797681751544,0.10136958853127481,5,5,1.6002705794306416e-06,0.9999908545959705,0.9999908545959705,False,IMPROVEMENT
10,w_1,w,5,0.28689523562878805,0.012486678693758696,0.005584212474488544,0.2713909762376099,0.3023994950199662,5,5,3.7456958711218584e-07,0.9999995050852367,0.9999995050852367,False,5,0.19293274804000188,0.0067098110099802445,0.0030007187068984693,0.18460141727415816,0.2012640788058456,5,5,1.181619889412993e-07,0.9999997285797884,0.9999997285797884,False,IMPROVEMENT
