dataset,planning_seed,condition_id,control,method,dPdet,dRMST_rel,dL,H_common,exposure_multiplicity_control,exposure_multiplicity_method,revisit_fraction_control,revisit_fraction_method,replans_control,replans_method,planner_wall_time_control,planner_wall_time_method,initial_positions_hash,planning_seed_common,curve,w
1,46,tau_2000,online_static_3step,dynamic_3step,0.05930468236657116,0.017511837237354357,0.05924910207014389,8626.0,22.55229357798165,16.10789798046838,0.9556586119925149,0.9379186532462181,4148.0,4146.0,404.52449612529017,441.45678906561807,c3a107a1fc646545ced1bed510f83f2557068c38968fadd0196b04e59ec82149,46,tau,0.5
1,46,tau_32000,online_static_3step,dynamic_3step,0.09940894362565861,0.04166819780694164,0.09949493012024208,8626.0,22.55229357798165,12.269339111592632,0.9556586119925149,0.9184960175193826,4148.0,4134.0,412.2242426741868,454.84203828522004,c3a107a1fc646545ced1bed510f83f2557068c38968fadd0196b04e59ec82149,46,tau,0.5
1,46,w_0,online_static_3step,dynamic_3step,-5.264480480177136e-05,-7.074231671127447e-07,-5.30813909312422e-05,8494.0,11.14210317983903,11.14210317983903,0.910250337493783,0.910250337493783,4033.0,4032.0,359.2575821368955,394.0884884574916,c3a107a1fc646545ced1bed510f83f2557068c38968fadd0196b04e59ec82149,46,w,0.0
1,46,w_025,online_static_3step,dynamic_3step,0.04049690251550242,0.011725622227703873,0.04049834193862095,8650.0,15.067360685854256,12.592902502801644,0.9336313757366389,0.9205901896105745,4296.0,4023.0,421.1874648369849,434.61959456303157,c3a107a1fc646545ced1bed510f83f2557068c38968fadd0196b04e59ec82149,46,w,0.25
1,46,w_075,online_static_3step,dynamic_3step,0.32784590415259174,0.20204583328895573,0.32819943446425226,9278.0,297.27403846153845,12.176677430929315,0.9966361004641534,0.9178757911858654,5266.0,4016.0,500.5674759657122,439.02482619532384,c3a107a1fc646545ced1bed510f83f2557068c38968fadd0196b04e59ec82149,46,w,0.75
1,46,w_1,online_static_3step,dynamic_3step,0.36664324922787817,0.22351254906999724,0.36709306510941053,8957.0,1279.4785714285715,11.634091065174095,0.9992184316155577,0.9140457132062997,4963.0,3937.0,466.4847007957287,425.520933077205,c3a107a1fc646545ced1bed510f83f2557068c38968fadd0196b04e59ec82149,46,w,1.0
7,42,nominal,online_static_3step,dynamic_3step,0.0737841651679558,0.028107375943839778,0.07388801555826498,8233.0,24.62956629877196,10.141508840369974,0.9593983918405473,0.901395343065784,5622.0,4811.0,541.9356132675894,521.4920851332135,006da335f256203469592a62a852eccffab880f7309f6633631136cbb4337c3b,42,nominal,0.5
7,42,pd_060,online_static_3step,dynamic_3step,0.10314340726222665,0.05429931413293641,0.10411175632255752,8291.0,24.62956629877196,10.060002466699556,0.9593983918405473,0.9005964458448015,5622.0,4659.0,550.0351245303173,506.47333967266604,006da335f256203469592a62a852eccffab880f7309f6633631136cbb4337c3b,42,p_d,0.5
7,42,pd_095,online_static_3step,dynamic_3step,0.10237126363997064,0.05294483552680537,0.10237282121742562,8234.0,24.62956629877196,9.424554223911137,0.9593983918405473,0.8938941857363514,5622.0,4724.0,551.3659349922091,518.760676902486,006da335f256203469592a62a852eccffab880f7309f6633631136cbb4337c3b,42,p_d,0.5
7,42,tau_128000,online_static_3step,dynamic_3step,0.07425849528881942,0.02808152815327483,0.0743622261893306,8232.0,24.62956629877196,10.088717756073128,0.9593983918405473,0.9008793759347636,5622.0,4853.0,552.2157135596499,516.838423512876,006da335f256203469592a62a852eccffab880f7309f6633631136cbb4337c3b,42,tau,0.5
